,id,is_claimed,is_closed,review_count,rating,Restaurant Category 1,Restaurant Category 2,Restaurant Category 3,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Zip Code,Opening Time,Closing Time,Has Messaging
0,9VqZZiaiyGH_6smpvUKaQQ,True,False,127,4.5,bbq,breakfast_brunch,,0,0,0,Medium,3,Aubrey,TX,76227,0700,2100,0
1,dPaJzxW0foPByEXbPFkh_Q,True,False,141,4.0,thai,,,1,1,0,Medium,3,Aubrey,TX,76227,1100,2130,0
2,RhL6hXqiz_nMz06Xx7tBcg,True,False,8,4.5,soulfood,foodtrucks,,1,1,0,,3,East Aubrey,TX,76227,1500,2100,0
3,yawhLqszfIp9q1aGNdLoig,True,False,23,4.5,foodtrucks,tacos,,1,1,0,Medium,3,Aubrey,TX,76227,1100,1800,0
4,g_XBHNmwfPUOI4qE_bBgPQ,True,False,83,3.0,japanese,sushi,,1,1,0,,3,Aubrey,TX,76227,1100,1430,1
5,n9xpJEWHDFXu5AdrOWBILQ,True,False,8,3.5,seafood,,,0,0,0,,3,Aubrey,TX,76227,1400,2000,1
6,amB9cpkO5890MXGctomQ9A,True,False,178,3.5,salad,pizza,italian,1,1,0,Medium,3,Aubrey,TX,76227,1100,2100,0
7,6OKBmFJjhrfUx_lkaZK9Kg,True,False,14,3.5,tradamerican,chicken_wings,,0,0,0,,3,Aubrey,TX,76227,1030,2200,0
8,kXFTbwklmU1HUx3fNkxXRA,True,False,69,4.5,coffee,juicebars,chicken_wings,1,1,0,,3,Aubrey,TX,76227,1100,2000,1
9,mtFwCHKKM42nVSyCCBiM5g,False,False,35,1.0,hotdogs,burgers,coffee,0,1,0,,3,Aubrey,TX,76227,0900,2200,0
10,o_g-vMKxSFZRUPicjN5s_Q,True,False,38,1.5,hotdogs,burgers,icecream,0,0,0,Low,3,Aubrey,TX,76227,0600,2300,1
11,bFh_LbztghTbxrMkW7pXxA,True,False,23,3.5,sandwiches,,,1,1,0,Low,3,Little Elm,TX,76227,0900,2200,1
12,zc0GVHpSDrwZYBH5imO6Eg,True,False,1,5.0,shavedice,foodstands,,0,0,0,Low,0,Savannah,TX,76227,,,0
13,yOQAuEsb5GHAkjXV0M-fFw,True,False,78,4.0,breakfast_brunch,newamerican,,0,0,0,Medium,3,Aubrey,TX,76227,0700,1500,0
14,3laIllEuWvKpxBMLEIQlyQ,True,False,50,4.0,chinese,thai,,0,0,0,,3,Aubrey,TX,76227,1100,2130,0
15,Qkudr-NkuPleXeMACLYSFA,True,False,10,2.5,pizza,,,1,1,0,,3,Aubrey,TX,76227,1030,2200,1
16,bhW7ow0fWVXAJCTu5VW_jQ,False,False,2,5.0,foodtrucks,cheesesteaks,,0,0,0,,3,Denton,TX,76201,,,0
17,OVA6yAnz-t2plf10rV0IYg,True,False,25,4.0,mideastern,,,1,1,0,,3,Frisco,TX,75033,1045,2100,0
18,MvXyh0R1GI74GiDga517jA,True,False,190,4.5,mediterranean,halal,mideastern,1,1,0,Low,3,Prosper,TX,75078,1100,2100,0
19,jiJ3Nq9IbtrDkn8EOhE-8A,True,False,51,2.5,burgers,chicken_wings,pizza,1,1,0,Medium,3,Frisco,TX,75034,1100,0000,1
20,Zgf-GnxkN3pmv033YRzpcw,True,False,17,3.0,poke,asianfusion,hawaiian,1,1,0,,3,Frisco,TX,75034,1100,2000,0
21,PSdYVsopHU2UiHQaWi9tTw,True,False,168,4.0,hotdogs,pizza,,1,1,0,Medium,3,Prosper,TX,75078,1030,2200,0
22,BzTiOG1rKflwZnioC0d5hQ,True,False,58,1.5,chicken_wings,,,0,0,0,,3,Prosper,TX,75078,1100,0000,0
23,Q2z6-am58t-h9fi_ZCky_A,True,False,19,3.5,chickenshop,hotdogs,,0,1,0,,3,Prosper,TX,75078,1000,2300,0
24,Xbu1z0g2kqrmJSHYliIYeA,True,False,61,2.0,tacos,,,0,1,0,,3,Prosper,TX,75078,1000,1500,1
25,HUcWNv2vGkOBctVg6ZtG7g,True,False,33,4.5,hotdogs,delis,sandwiches,1,1,0,,3,Frisco,TX,75035,1000,2100,0
26,6gc2Of2_XRiEh9zL68tJfw,True,False,58,1.5,breakfast_brunch,burgers,tradamerican,1,1,0,Medium,3,Frisco,TX,75033,0600,0000,1
