,id,is_claimed,is_closed,review_count,rating,Restaurant Category,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Opening Time,Closing Time,Has Messaging
0,JwqeWMQgHnW988lGRrT4gw,True,False,32.0,4.0,burmese,1.0,1.0,0.0,Low,3.0,Lewisville,TX,0830,1730,0
1,aOovQO44RRvMl7z9NAjV0Q,True,False,258.0,4.0,mexican,1.0,1.0,0.0,Low,3.0,Lewisville,TX,0000,0000,0
2,mHlAob1B53kynBAyPFlDWg,False,False,23.0,4.5,mexican,1.0,1.0,0.0,Low,3.0,Lewisville,TX,0630,2200,0
3,6ZmeVf0Kg9KXBGHgE0x_6Q,True,False,19.0,4.5,mexican,1.0,1.0,0.0,,3.0,Lewisville,TX,0800,2100,1
4,7E5_euVu635zjvWiSR2IZg,True,False,146.0,4.5,mexican,0.0,1.0,0.0,Low,3.0,Lewisville,TX,0800,1600,0
5,sAj0eEA60QgCSvfKlfJuzQ,False,False,81.0,2.0,mexican,0.0,1.0,0.0,Medium,3.0,Lewisville,TX,,,0
6,2gZubmtxWTV4VitlqMSQfg,True,False,46.0,4.5,mexican,1.0,1.0,0.0,Low,3.0,Lewisville,TX,0600,2100,0
7,U_Njx3gG2akdZfPryNxTAw,True,False,122.0,4.0,tradamerican,0.0,1.0,0.0,Low,3.0,Lewisville,TX,0600,1330,0
8,cnHzGXNZV0g0yOFzmDT0iQ,True,False,8.0,3.0,foodstands,0.0,1.0,0.0,,3.0,Lewisville,TX,,,0
9,A5Blvm9eUoYSKyS_YfK1RQ,True,False,2.0,5.0,burmese,0.0,1.0,0.0,,3.0,Lewisville,TX,0800,1930,0
10,k4xoPCpLXCNoFo6O4JfK4w,False,False,3.0,5.0,bakeries,0.0,0.0,0.0,,1.0,Lewisville,TX,0800,1730,0
11,TqfyfVYe7XzQxJ3aY4qt8g,True,False,1.0,5.0,coffee,0.0,0.0,0.0,Low,2.0,Lewisville,TX,0500,2000,1
12,ePQrTSpEVAUTLrCJEfiaNQ,True,False,46.0,3.5,bars,0.0,1.0,0.0,Medium,3.0,Lewisville,TX,1200,0200,0
