"","Restaurant.Category.1","id","is_claimed","is_closed","review_count","rating","Pickup.Available","Delivery.Available","Reservation.Available","Price.Level","number.of.photos","City","State","Opening.Time","Closing.Time","Has.Messaging","reduced.category","Open_Breakfast","Open_Lunch","Open_Dinner","Open_Late"
"1","african","wyxkS13kG6o2OMijSuSolQ","True","False",15,4,0,1,0,"",3,"Lewisville","TX",1200,2000,0,"Middle Eastern/African",FALSE,TRUE,TRUE,FALSE
"2","african","Wk7bGwKecyYwdh1e9JpIUg","True","False",21,3,1,1,0,"",3,"Frisco","TX",1130,2100,0,"Middle Eastern/African",FALSE,TRUE,TRUE,FALSE
"3","african","t1OFpyRxngMWGNgI293XsQ","True","False",16,4,1,1,0,"",3,"Plano","TX",1100,1900,1,"Middle Eastern/African",FALSE,TRUE,TRUE,FALSE
"4","asianfusion","8AfxHKTkUeetZ5qz2aiJHw","True","False",131,4,1,1,0,"Medium",3,"Prosper","TX",1100,1530,1,"East Asian",FALSE,TRUE,FALSE,FALSE
"5","asianfusion","kCgeadOYxcOeK-gvPGQheA","True","False",29,3.5,0,0,0,"",3,"Plano","TX",1100,2100,0,"East Asian",FALSE,TRUE,TRUE,FALSE
"6","asianfusion","DS9-YZdhErxrTeqw0pnFQQ","True","False",116,3,0,1,0,"Medium",3,"McKinney","TX",1115,2130,0,"East Asian",FALSE,TRUE,TRUE,FALSE
"7","asianfusion","Z3N__-JLDo1k0ukdH8Mm8g","True","False",408,4,1,1,0,"Medium",3,"Frisco","TX",1100,1430,1,"East Asian",FALSE,TRUE,FALSE,FALSE
"8","asianfusion","NqlXqmFDK6nY1LXNvzdl0g","True","False",217,2,1,1,0,"Medium",3,"Frisco","TX",1100,2000,0,"East Asian",FALSE,TRUE,TRUE,FALSE
"9","asianfusion","VRtEgQCGFGKWO0B_bmiDQw","True","False",170,2.5,1,1,0,"Medium",3,"Plano","TX",1100,2030,0,"East Asian",FALSE,TRUE,TRUE,FALSE
"10","asianfusion","wPemPKnDZlW18VB1_NDW-A","True","False",52,3,0,1,0,"Low",3,"The Colony","TX",1100,2200,0,"East Asian",FALSE,TRUE,TRUE,FALSE
"11","asianfusion","Xj1xaMizHb87U5HwIkdZFA","True","False",315,4,0,1,0,"Medium",3,"Little Elm","TX",1030,2130,0,"East Asian",FALSE,TRUE,TRUE,FALSE
"12","asianfusion","2Yj62Zx22IQO_8U00DUcWw","True","False",308,3.5,0,1,0,"High",3,"Plano","TX",1600,2300,0,"East Asian",FALSE,FALSE,TRUE,TRUE
"13","bagels","fpI7mnWKWi5ImtBf1gd-zg","True","False",140,2,0,1,0,"Low",3,"Frisco","TX",530,1600,0,"Cafe",TRUE,TRUE,FALSE,FALSE
"14","bagels","eKUphiarXq87lHjyjY9IAg","True","False",41,4.5,0,0,0,"",3,"Frisco","TX",700,1330,0,"Cafe",TRUE,TRUE,FALSE,FALSE
"15","bakeries","cTXJ0802WT8dL0ZTzNU4zw","True","False",14,3,1,1,0,"",3,"Frisco","TX",1000,2200,1,"Snacks/Dessert",TRUE,TRUE,TRUE,FALSE
