,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,NQ0pRcBM45akp3ms2EbbMg,on-demand-sushi-las-vegas-3,On Demand Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/op1vrOPjpERMn3t3S87jcA/o.jpg,False,https://www.yelp.com/biz/on-demand-sushi-las-vegas-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,252,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'poke', 'title': 'Poke'}]",4.5,"{'latitude': 36.085777, 'longitude': -115.314945}","['delivery', 'pickup']",$$,"{'address1': '5660 S Hualapai Way', 'address2': 'Unit 105', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['5660 S Hualapai Way', 'Unit 105', 'Las Vegas, NV 89148']}",+17029140033,(702) 914-0033,1033.5149026661354
1,JrSxduS5XN6TZZ_PyDz1Cg,squallys-juice-bar-and-cafe-hualapai-las-vegas,Squally's Juice Bar & Cafe - Hualapai,https://s3-media1.fl.yelpcdn.com/bphoto/XUHZf0cJNyP07vXgtWsiEg/o.jpg,False,https://www.yelp.com/biz/squallys-juice-bar-and-cafe-hualapai-las-vegas?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,15,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'acaibowls', 'title': 'Acai Bowls'}]",4.5,"{'latitude': 36.085757921417084, 'longitude': -115.3148344844134}","['delivery', 'pickup']",,"{'address1': '5660 S Hualapai Way', 'address2': 'Ste 104', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['5660 S Hualapai Way', 'Ste 104', 'Las Vegas, NV 89148']}",+17026052609,(702) 605-2609,1034.3081655279948
2,do8NhKHRiKpUtKb5xUL9kw,robertos-taco-shop-las-vegas-83,Roberto's Taco Shop,https://s3-media4.fl.yelpcdn.com/bphoto/bs9oLn0z1BD5w4j02kGNcQ/o.jpg,False,https://www.yelp.com/biz/robertos-taco-shop-las-vegas-83?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,34,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",3.0,"{'latitude': 36.071335255354604, 'longitude': -115.31537484998819}",['delivery'],,"{'address1': '6440 S Hualapai Way', 'address2': 'Ste 100', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6440 S Hualapai Way', 'Ste 100', 'Las Vegas, NV 89148']}",+17024622728,(702) 462-2728,662.8982422543864
3,w2D-bXyIaKwh3AlEb-LygQ,big-bs-texas-bbq-las-vegas-2,Big B's Texas BBQ,https://s3-media4.fl.yelpcdn.com/bphoto/tTiaP309tTdOd-EH7glqgw/o.jpg,False,https://www.yelp.com/biz/big-bs-texas-bbq-las-vegas-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,548,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 36.077004, 'longitude': -115.298394}","['delivery', 'pickup']",$$,"{'address1': '6115 S Fort Apache Rd', 'address2': 'Ste 110', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6115 S Fort Apache Rd', 'Ste 110', 'Las Vegas, NV 89148']}",+17028448206,(702) 844-8206,969.6130934233526
4,NIOwzgujIXKVBEVNTQBXpg,jjanga-steak-and-sushi-las-vegas-5,Jjanga Steak & Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/TYJefy_BdUTaEVy1C-1jjg/o.jpg,False,https://www.yelp.com/biz/jjanga-steak-and-sushi-las-vegas-5?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,2328,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'teppanyaki', 'title': 'Teppanyaki'}]",4.0,"{'latitude': 36.07668800194289, 'longitude': -115.29853606744115}","['delivery', 'pickup']",$$,"{'address1': '6125 S Fort Apache Rd', 'address2': 'Ste 200', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6125 S Fort Apache Rd', 'Ste 200', 'Las Vegas, NV 89148']}",+17029148821,(702) 914-8821,956.881898223775
5,_0x7W6fizaPP76xNBxBLAQ,stephanos-greek-and-mediterranean-grill-las-vegas-3,Stephano's Greek & Mediterranean Grill,https://s3-media3.fl.yelpcdn.com/bphoto/biwgvAdsS6RYAgKCzFOdhw/o.jpg,False,https://www.yelp.com/biz/stephanos-greek-and-mediterranean-grill-las-vegas-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,603,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}]",4.0,"{'latitude': 36.07751138877375, 'longitude': -115.29848591567}","['delivery', 'pickup']",$$,"{'address1': '6115 S Fort Apache Rd', 'address2': 'Ste 100', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6115 S Fort Apache Rd', 'Ste 100', 'Las Vegas, NV 89148']}",+17027958444,(702) 795-8444,963.9814988722566
6,n2kgJSiB7Q4u7AkDvYfzlg,munch-box-las-vegas-4,Munch Box,https://s3-media1.fl.yelpcdn.com/bphoto/63ptbUZSHJTGA2Gr5tOO1Q/o.jpg,False,https://www.yelp.com/biz/munch-box-las-vegas-4?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,285,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 36.07681, 'longitude': -115.29834}","['delivery', 'pickup']",$$,"{'address1': '6105 S Fort Apache Rd', 'address2': None, 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6105 S Fort Apache Rd', 'Las Vegas, NV 89148']}",+17027787458,(702) 778-7458,995.9440632920597
7,Zmfq3DVhHdtVChhSxzoUHw,panna-thai-restaurant-las-vegas-2,Panna Thai Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/eNUsg_XgyaL1nWUvkkb7PA/o.jpg,False,https://www.yelp.com/biz/panna-thai-restaurant-las-vegas-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,908,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 36.0785849, 'longitude': -115.29779}","['delivery', 'pickup']",$$,"{'address1': '6015 S Fort Apache Rd', 'address2': 'Ste 100', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6015 S Fort Apache Rd', 'Ste 100', 'Las Vegas, NV 89148']}",+17028232345,(702) 823-2345,982.8814019935719
8,Se-co1eXBho5A4YwMfKMIQ,griddlecakes-las-vegas-6,Griddlecakes,https://s3-media4.fl.yelpcdn.com/bphoto/mzNHumqLa_1dRkfnHf92FQ/o.jpg,False,https://www.yelp.com/biz/griddlecakes-las-vegas-6?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,660,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pancakes', 'title': 'Pancakes'}]",4.0,"{'latitude': 36.07866, 'longitude': -115.29828}","['delivery', 'pickup']",$$,"{'address1': '6085 S Fort Apache Rd', 'address2': 'Ste 180', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6085 S Fort Apache Rd', 'Ste 180', 'Las Vegas, NV 89148']}",+17028918918,(702) 891-8918,962.1602041197101
9,v1_eNyGhoW8fxeteenxGzg,sip-and-savor-kitchen-las-vegas-2,Sip & Savor Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/oWN3V6a1KrNUGjcVxveRvQ/o.jpg,False,https://www.yelp.com/biz/sip-and-savor-kitchen-las-vegas-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,133,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,"{'latitude': 36.07191527192734, 'longitude': -115.29823504943556}",['delivery'],$$,"{'address1': '6415 S Fort Apache Rd', 'address2': '', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6415 S Fort Apache Rd', 'Las Vegas, NV 89148']}",+17252058539,(725) 205-8539,1126.68250058079
10,60uVlCUiLJvq3xNo_3bhQQ,carmines-pizza-kitchen-las-vegas-3,Carmine's Pizza Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/mh0IzeebzeuCX83Rn08hgA/o.jpg,False,https://www.yelp.com/biz/carmines-pizza-kitchen-las-vegas-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,326,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 36.0686396, 'longitude': -115.2979359}",['delivery'],$$,"{'address1': '6565 S Fort Apache Rd', 'address2': '', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6565 S Fort Apache Rd', 'Las Vegas, NV 89148']}",+17022437777,(702) 243-7777,1270.8186338075186
11,NaZVUOzqk5b-l0mlki-9Og,chun-fai-chinese-eatery-las-vegas,Chun Fai Chinese Eatery,https://s3-media2.fl.yelpcdn.com/bphoto/G3TGXAgpqzfjm1Xosn_FFQ/o.jpg,False,https://www.yelp.com/biz/chun-fai-chinese-eatery-las-vegas?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,277,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'soup', 'title': 'Soup'}]",3.5,"{'latitude': 36.0689682903359, 'longitude': -115.298683821699}","['delivery', 'pickup']",$,"{'address1': '6565 S Fort Apache Rd', 'address2': 'Ste 175', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6565 S Fort Apache Rd', 'Ste 175', 'Las Vegas, NV 89148']}",+17022229052,(702) 222-9052,1288.0232969549857
12,M-SS_Kr0zlC7v8kBSRa74g,hokaido-sushi-las-vegas,Hokaido Sushi,https://s3-media4.fl.yelpcdn.com/bphoto/Njv_CKBSObvFBzTjYV4cDw/o.jpg,False,https://www.yelp.com/biz/hokaido-sushi-las-vegas?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,450,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 36.0791112054211, 'longitude': -115.298531538692}",['pickup'],$$,"{'address1': '6015 S Fort Apache Rd', 'address2': 'Ste 150', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6015 S Fort Apache Rd', 'Ste 150', 'Las Vegas, NV 89148']}",+17022622213,(702) 262-2213,989.4587912146076
13,NQ0pRcBM45akp3ms2EbbMg,on-demand-sushi-las-vegas-3,On Demand Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/op1vrOPjpERMn3t3S87jcA/o.jpg,False,https://www.yelp.com/biz/on-demand-sushi-las-vegas-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,252,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'poke', 'title': 'Poke'}]",4.5,"{'latitude': 36.085777, 'longitude': -115.314945}","['delivery', 'pickup']",$$,"{'address1': '5660 S Hualapai Way', 'address2': 'Unit 105', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['5660 S Hualapai Way', 'Unit 105', 'Las Vegas, NV 89148']}",+17029140033,(702) 914-0033,1119.2480794079163
14,JrSxduS5XN6TZZ_PyDz1Cg,squallys-juice-bar-and-cafe-hualapai-las-vegas,Squally's Juice Bar & Cafe - Hualapai,https://s3-media1.fl.yelpcdn.com/bphoto/XUHZf0cJNyP07vXgtWsiEg/o.jpg,False,https://www.yelp.com/biz/squallys-juice-bar-and-cafe-hualapai-las-vegas?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,15,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'acaibowls', 'title': 'Acai Bowls'}]",4.5,"{'latitude': 36.085757921417084, 'longitude': -115.3148344844134}","['delivery', 'pickup']",,"{'address1': '5660 S Hualapai Way', 'address2': 'Ste 104', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['5660 S Hualapai Way', 'Ste 104', 'Las Vegas, NV 89148']}",+17026052609,(702) 605-2609,1112.7989966875089
15,do8NhKHRiKpUtKb5xUL9kw,robertos-taco-shop-las-vegas-83,Roberto's Taco Shop,https://s3-media4.fl.yelpcdn.com/bphoto/bs9oLn0z1BD5w4j02kGNcQ/o.jpg,False,https://www.yelp.com/biz/robertos-taco-shop-las-vegas-83?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,34,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",3.0,"{'latitude': 36.071335255354604, 'longitude': -115.31537484998819}",['delivery'],,"{'address1': '6440 S Hualapai Way', 'address2': 'Ste 100', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6440 S Hualapai Way', 'Ste 100', 'Las Vegas, NV 89148']}",+17024622728,(702) 462-2728,828.4991337172321
16,xxaqaD9IVsqxiNF8FoHdYA,port-of-subs-las-vegas-83,Port of Subs,https://s3-media1.fl.yelpcdn.com/bphoto/htDsAjWo7AH6_ySceqFGIw/o.jpg,False,https://www.yelp.com/biz/port-of-subs-las-vegas-83?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,55,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,"{'latitude': 36.079444, 'longitude': -115.298046}","['delivery', 'pickup']",$,"{'address1': '6005 S Ft Apache Rd', 'address2': 'Ste 120', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6005 S Ft Apache Rd', 'Ste 120', 'Las Vegas, NV 89148']}",+17026804646,(702) 680-4646,1039.4438712446006
