,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
0,MhcT-tW4T6MF-533Art0GA,chicken-namaste-willis-2,Chicken Namaste,https://s3-media4.fl.yelpcdn.com/bphoto/O8BkaJxsEz2ggXsoxuZ43g/o.jpg,False,https://www.yelp.com/biz/chicken-namaste-willis-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'indpak', 'title': 'Indian'}]",4.5,"{'latitude': 30.426464, 'longitude': -95.543965}","['pickup', 'delivery']","{'address1': '12335 Fm 1097', 'address2': None, 'address3': None, 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12335 Fm 1097', 'Willis, TX 77318']}",+13464016031,(346) 401-6031,899.3025450533835,
1,GFohSClyVxTdwAKUDnWv9g,nacho-birria-willis,Nacho Birria,https://s3-media4.fl.yelpcdn.com/bphoto/lluwjdTmDHevysFX4D_obA/o.jpg,False,https://www.yelp.com/biz/nacho-birria-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,41,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 30.4269556, 'longitude': -95.5433604}","['pickup', 'delivery']","{'address1': '12335 Fm 1097 W', 'address2': None, 'address3': None, 'city': 'Willis ', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12335 Fm 1097 W', 'Willis , TX 77318']}",+18329639734,(832) 963-9734,971.2486955723176,
2,_h75tz-z3kSKl0bY9osdJw,tamalada-craft-tamales-willis,Tamalada Craft Tamales,https://s3-media3.fl.yelpcdn.com/bphoto/Q7_FNdA-IToRzgKPboslog/o.jpg,False,https://www.yelp.com/biz/tamalada-craft-tamales-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 30.426464, 'longitude': -95.543965}",[],"{'address1': '12335 Fm 1097', 'address2': None, 'address3': '', 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12335 Fm 1097', 'Willis, TX 77318']}",+19362491299,(936) 249-1299,899.3025450533835,
3,MhcT-tW4T6MF-533Art0GA,chicken-namaste-willis-2,Chicken Namaste,https://s3-media4.fl.yelpcdn.com/bphoto/O8BkaJxsEz2ggXsoxuZ43g/o.jpg,False,https://www.yelp.com/biz/chicken-namaste-willis-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'indpak', 'title': 'Indian'}]",4.5,"{'latitude': 30.426464, 'longitude': -95.543965}","['delivery', 'pickup']","{'address1': '12335 Fm 1097', 'address2': None, 'address3': None, 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12335 Fm 1097', 'Willis, TX 77318']}",+13464016031,(346) 401-6031,823.0757135735619,
4,GFohSClyVxTdwAKUDnWv9g,nacho-birria-willis,Nacho Birria,https://s3-media4.fl.yelpcdn.com/bphoto/lluwjdTmDHevysFX4D_obA/o.jpg,False,https://www.yelp.com/biz/nacho-birria-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,41,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 30.4269556, 'longitude': -95.5433604}","['delivery', 'pickup']","{'address1': '12335 Fm 1097 W', 'address2': None, 'address3': None, 'city': 'Willis ', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12335 Fm 1097 W', 'Willis , TX 77318']}",+18329639734,(832) 963-9734,819.0276068116821,
5,_h75tz-z3kSKl0bY9osdJw,tamalada-craft-tamales-willis,Tamalada Craft Tamales,https://s3-media3.fl.yelpcdn.com/bphoto/Q7_FNdA-IToRzgKPboslog/o.jpg,False,https://www.yelp.com/biz/tamalada-craft-tamales-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 30.426464, 'longitude': -95.543965}",[],"{'address1': '12335 Fm 1097', 'address2': None, 'address3': '', 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12335 Fm 1097', 'Willis, TX 77318']}",+19362491299,(936) 249-1299,823.0757135735619,
6,4DFZ_-LJ32v7_QmOfrn-jg,242-pub-and-grill-willis-willis,242 Pub & Grill - Willis,https://s3-media1.fl.yelpcdn.com/bphoto/jW-5EmJjnrWeY8X78xvB8Q/o.jpg,False,https://www.yelp.com/biz/242-pub-and-grill-willis-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,99,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.0,"{'latitude': 30.42313, 'longitude': -95.52932}","['delivery', 'pickup']","{'address1': '11525 Fm 1097', 'address2': '', 'address3': None, 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['11525 Fm 1097', 'Willis, TX 77318']}",+19368568929,(936) 856-8929,403.5361864899019,$$
7,4DFZ_-LJ32v7_QmOfrn-jg,242-pub-and-grill-willis-willis,242 Pub & Grill - Willis,https://s3-media1.fl.yelpcdn.com/bphoto/jW-5EmJjnrWeY8X78xvB8Q/o.jpg,False,https://www.yelp.com/biz/242-pub-and-grill-willis-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,99,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.0,"{'latitude': 30.42313, 'longitude': -95.52932}","['delivery', 'pickup']","{'address1': '11525 Fm 1097', 'address2': '', 'address3': None, 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['11525 Fm 1097', 'Willis, TX 77318']}",+19368568929,(936) 856-8929,744.5157581188738,$$
8,sX74jgDzP8zDSx52AjNyYA,laredo-taco-company-willis-2,Laredo Taco Company,https://s3-media4.fl.yelpcdn.com/bphoto/QGdC8dIPTK1fcVmUCl5lBA/o.jpg,False,https://www.yelp.com/biz/laredo-taco-company-willis-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,1,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",1.0,"{'latitude': 30.418187, 'longitude': -95.503703}",['delivery'],"{'address1': '10057 Fm 1097 Rd W / Hilltop', 'address2': None, 'address3': '', 'city': 'Willis', 'zip_code': '77378', 'country': 'US', 'state': 'TX', 'display_address': ['10057 Fm 1097 Rd W / Hilltop', 'Willis, TX 77378']}",+19368566471,(936) 856-6471,967.5147332565765,
9,qT1M_-5XO9_dwqHAIcboYg,marcos-pizza-coming-soon-willis,Marco's Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/jvZh7wxGViSiVKJfHyQNig/o.jpg,False,https://www.yelp.com/biz/marcos-pizza-coming-soon-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,5,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 30.41891, 'longitude': -95.49812}","['pickup', 'delivery']","{'address1': '9611 W Fm 1097', 'address2': 'Ste 500', 'address3': None, 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['9611 W Fm 1097', 'Ste 500', 'Willis, TX 77318']}",+19362972500,(936) 297-2500,631.955135496453,
10,QBfBnBs-5H6ii3C0og8Q1w,cilantros-mexican-grill-willis,Cilantro's Mexican Grill,https://s3-media4.fl.yelpcdn.com/bphoto/dv6MIJGttkQR7Lu13HqEUw/o.jpg,False,https://www.yelp.com/biz/cilantros-mexican-grill-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,47,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",2.5,"{'latitude': 30.420093, 'longitude': -95.498551}","['pickup', 'delivery']","{'address1': '12501 Canyon Falls Blvd', 'address2': '', 'address3': '', 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12501 Canyon Falls Blvd', 'Willis, TX 77318']}",+19368566200,(936) 856-6200,578.7604891814389,$$
11,_PwbWvW7yXEv0X316HeP4A,blimpie-americas-sub-shop-willis,Blimpie America's Sub Shop,https://s3-media2.fl.yelpcdn.com/bphoto/4ROrYEWHOTbJr2MvzwqH7Q/o.jpg,False,https://www.yelp.com/biz/blimpie-americas-sub-shop-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,1,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wraps', 'title': 'Wraps'}, {'alias': 'delis', 'title': 'Delis'}]",1.0,"{'latitude': 30.41992, 'longitude': -95.4968}",[],"{'address1': '9571 Fm 1097', 'address2': 'Ste 400', 'address3': None, 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['9571 Fm 1097', 'Ste 400', 'Willis, TX 77318']}",+19362240448,(936) 224-0448,848.1699205710873,
