,id,is_closed,review_count,rating,Restaurant Category,Pickup Available,Delivery Available,Reservation Available,Price Level
0,9VqZZiaiyGH_6smpvUKaQQ,0,127,4.5,breakfast_brunch,0,0,0,Medium
1,dPaJzxW0foPByEXbPFkh_Q,0,141,4.0,thai,1,1,0,Medium
3,yawhLqszfIp9q1aGNdLoig,0,23,4.5,tacos,1,1,0,Medium
6,amB9cpkO5890MXGctomQ9A,0,178,3.5,italian,1,1,0,Medium
10,o_g-vMKxSFZRUPicjN5s_Q,0,38,1.5,icecream,0,0,0,Low
11,bFh_LbztghTbxrMkW7pXxA,0,23,3.5,sandwiches,1,1,0,Low
12,zc0GVHpSDrwZYBH5imO6Eg,0,1,5.0,foodstands,0,0,0,Low
13,yOQAuEsb5GHAkjXV0M-fFw,0,78,4.0,newamerican,0,0,0,Medium
18,MvXyh0R1GI74GiDga517jA,0,190,4.5,mideastern,1,1,0,Low
19,jiJ3Nq9IbtrDkn8EOhE-8A,0,51,2.5,pizza,1,1,0,Medium
21,PSdYVsopHU2UiHQaWi9tTw,0,168,4.0,pizza,1,1,0,Medium
26,6gc2Of2_XRiEh9zL68tJfw,0,58,1.5,tradamerican,1,1,0,Medium
27,CIQbbv3pClkStU3dqhfbKg,0,25,2.5,tacos,0,1,0,Low
28,cGkbxAlTLBBwWV5-6Ou4Fg,0,22,2.0,hotdogs,1,1,0,Low
37,S9_I5wQG_eIyXUx6kiRbIw,0,111,4.0,pizza,0,1,0,Medium
38,87wqbVMYCSJVPqIqI9dRrA,0,241,4.5,japanese,0,1,0,Medium
39,a2DhMIpjTKVS8PZ_wTj6Wg,0,222,3.5,chickenshop,0,0,0,Medium
40,8jMd6HuRUNXWxC9XmMmgVw,0,33,3.0,bars,0,0,0,Medium
41,dAQ2Jfq0SPMFSgvmC9rXMw,0,182,4.0,laotian,1,1,0,Medium
42,fhG2Xdg2Zl58kzox2AmNCg,0,79,3.0,soup,0,0,0,Medium
44,RvVX5URUKXSHQ_iJe-gQdw,0,112,1.5,burgers,0,1,0,Low
47,sABLjt2mgq7uOZ61TOjH8g,0,132,2.5,tradamerican,1,1,0,Medium
50,yduGbvN_vc3p5O7psTtgYA,0,71,3.5,salad,0,0,0,Low
51,8AfxHKTkUeetZ5qz2aiJHw,0,131,4.0,chinese,1,1,0,Medium
52,WWF8KZyNOnI2J0rymB9_7w,0,134,4.5,seafood,1,1,0,Medium
57,Y51mZRqXcK0HHu0XGAvogA,0,58,2.0,hotdogs,1,1,0,Low
59,Yj9R7Lxon-lF1lpZ4C1Whg,0,88,4.5,tradamerican,0,0,0,Medium
60,qjITTDhThRP7l9YR1xr5Rw,0,239,4.0,asianfusion,0,1,0,Medium
61,8pfCGsHj3Vm81QLQU94EpA,0,168,1.5,chicken_wings,1,1,0,Low
62,bIm_I9zf-xSEqvaOgAJHow,0,172,3.5,mexican,0,1,0,Medium
