,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,transactions,messaging,hours,price,special_hours
0,MhcT-tW4T6MF-533Art0GA,chicken-namaste-willis-2,Chicken Namaste,https://s3-media4.fl.yelpcdn.com/bphoto/O8BkaJxsEz2ggXsoxuZ43g/o.jpg,True,False,https://www.yelp.com/biz/chicken-namaste-willis-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+13464016031,(346) 401-6031,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'indpak', 'title': 'Indian'}]",4.5,"{'address1': '12335 Fm 1097', 'address2': None, 'address3': None, 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12335 Fm 1097', 'Willis, TX 77318'], 'cross_streets': ''}","{'latitude': 30.426464, 'longitude': -95.543965}","['https://s3-media4.fl.yelpcdn.com/bphoto/O8BkaJxsEz2ggXsoxuZ43g/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/WlP7Iqe3PsbVanCV98RcVw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/qxsWjCy9Wo1pXvyJAGagAQ/o.jpg']","['pickup', 'delivery']","{'url': 'https://www.yelp.com/raq/MhcT-tW4T6MF-533Art0GA?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}",,,
1,GFohSClyVxTdwAKUDnWv9g,nacho-birria-willis,Nacho Birria,https://s3-media4.fl.yelpcdn.com/bphoto/lluwjdTmDHevysFX4D_obA/o.jpg,True,False,https://www.yelp.com/biz/nacho-birria-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+18329639734,(832) 963-9734,41,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'address1': '12335 Fm 1097 W', 'address2': None, 'address3': None, 'city': 'Willis ', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12335 Fm 1097 W', 'Willis , TX 77318'], 'cross_streets': ''}","{'latitude': 30.4269556, 'longitude': -95.5433604}","['https://s3-media4.fl.yelpcdn.com/bphoto/lluwjdTmDHevysFX4D_obA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/f17KwLvCnDC9oR126rSslw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/_II0uk1c6ctJt6AWGJS1XA/o.jpg']","['pickup', 'delivery']",,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,
2,_h75tz-z3kSKl0bY9osdJw,tamalada-craft-tamales-willis,Tamalada Craft Tamales,https://s3-media3.fl.yelpcdn.com/bphoto/Q7_FNdA-IToRzgKPboslog/o.jpg,True,False,https://www.yelp.com/biz/tamalada-craft-tamales-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19362491299,(936) 249-1299,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'address1': '12335 Fm 1097', 'address2': None, 'address3': '', 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12335 Fm 1097', 'Willis, TX 77318'], 'cross_streets': ''}","{'latitude': 30.426464, 'longitude': -95.543965}","['https://s3-media3.fl.yelpcdn.com/bphoto/Q7_FNdA-IToRzgKPboslog/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/K8BWIPaK9liYFKymj3pwow/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/RiwT3vaQYq-z5nSGk9RfhA/o.jpg']",[],"{'url': 'https://www.yelp.com/raq/_h75tz-z3kSKl0bY9osdJw?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}","[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",,
3,4DFZ_-LJ32v7_QmOfrn-jg,242-pub-and-grill-willis-willis,242 Pub & Grill - Willis,https://s3-media1.fl.yelpcdn.com/bphoto/jW-5EmJjnrWeY8X78xvB8Q/o.jpg,True,False,https://www.yelp.com/biz/242-pub-and-grill-willis-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19368568929,(936) 856-8929,99,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.0,"{'address1': '11525 Fm 1097', 'address2': '', 'address3': None, 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['11525 Fm 1097', 'Willis, TX 77318'], 'cross_streets': ''}","{'latitude': 30.42313, 'longitude': -95.52932}","['https://s3-media1.fl.yelpcdn.com/bphoto/jW-5EmJjnrWeY8X78xvB8Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/EA2kLWnOST48y69SLyWMcA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/B5lXolkKkiKB5C4Fp8Hmhg/o.jpg']","['pickup', 'delivery']",,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",$$,
4,sX74jgDzP8zDSx52AjNyYA,laredo-taco-company-willis-2,Laredo Taco Company,https://s3-media4.fl.yelpcdn.com/bphoto/QGdC8dIPTK1fcVmUCl5lBA/o.jpg,True,False,https://www.yelp.com/biz/laredo-taco-company-willis-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19368566471,(936) 856-6471,1,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",1.0,"{'address1': '10057 Fm 1097 Rd W / Hilltop', 'address2': None, 'address3': '', 'city': 'Willis', 'zip_code': '77378', 'country': 'US', 'state': 'TX', 'display_address': ['10057 Fm 1097 Rd W / Hilltop', 'Willis, TX 77378'], 'cross_streets': ''}","{'latitude': 30.418187, 'longitude': -95.503703}","['https://s3-media4.fl.yelpcdn.com/bphoto/QGdC8dIPTK1fcVmUCl5lBA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/heC2zx_GPboR5RnrCfARbw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/emxuAXuQanrV-yQpkJT4dg/o.jpg']",['delivery'],,"[{'open': [{'is_overnight': False, 'start': '0500', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0500', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0500', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0500', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0500', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '0500', 'end': '1600', 'day': 5}, {'is_overnight': False, 'start': '0500', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",,
5,_PwbWvW7yXEv0X316HeP4A,blimpie-americas-sub-shop-willis,Blimpie America's Sub Shop,https://s3-media2.fl.yelpcdn.com/bphoto/4ROrYEWHOTbJr2MvzwqH7Q/o.jpg,True,False,https://www.yelp.com/biz/blimpie-americas-sub-shop-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19362240448,(936) 224-0448,1,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wraps', 'title': 'Wraps'}, {'alias': 'delis', 'title': 'Delis'}]",1.0,"{'address1': '9571 Fm 1097', 'address2': 'Ste 400', 'address3': None, 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['9571 Fm 1097', 'Ste 400', 'Willis, TX 77318'], 'cross_streets': ''}","{'latitude': 30.41992, 'longitude': -95.4968}",['https://s3-media2.fl.yelpcdn.com/bphoto/4ROrYEWHOTbJr2MvzwqH7Q/o.jpg'],[],"{'url': 'https://www.yelp.com/raq/_PwbWvW7yXEv0X316HeP4A?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}","[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,
6,qT1M_-5XO9_dwqHAIcboYg,marcos-pizza-coming-soon-willis,Marco's Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/jvZh7wxGViSiVKJfHyQNig/o.jpg,True,False,https://www.yelp.com/biz/marcos-pizza-coming-soon-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19362972500,(936) 297-2500,5,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'address1': '9611 W Fm 1097', 'address2': 'Ste 500', 'address3': None, 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['9611 W Fm 1097', 'Ste 500', 'Willis, TX 77318'], 'cross_streets': ''}","{'latitude': 30.41891, 'longitude': -95.49812}","['https://s3-media2.fl.yelpcdn.com/bphoto/jvZh7wxGViSiVKJfHyQNig/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/w-ZeGm1RMBuRvRa_MyOpMA/o.jpg']","['pickup', 'delivery']",,,,
7,QBfBnBs-5H6ii3C0og8Q1w,cilantros-mexican-grill-willis,Cilantro's Mexican Grill,https://s3-media4.fl.yelpcdn.com/bphoto/dv6MIJGttkQR7Lu13HqEUw/o.jpg,True,False,https://www.yelp.com/biz/cilantros-mexican-grill-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19368566200,(936) 856-6200,47,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",2.5,"{'address1': '12501 Canyon Falls Blvd', 'address2': '', 'address3': '', 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12501 Canyon Falls Blvd', 'Willis, TX 77318'], 'cross_streets': ''}","{'latitude': 30.420093, 'longitude': -95.498551}","['https://s3-media4.fl.yelpcdn.com/bphoto/dv6MIJGttkQR7Lu13HqEUw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/RXsMTGKdFHAB_oXu3AMHdQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/jQ1Z9P9vL-cjHL08uE9TKA/o.jpg']","['pickup', 'delivery']","{'url': 'https://www.yelp.com/raq/QBfBnBs-5H6ii3C0og8Q1w?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}","[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",$$,
8,XmtdhaUHA06UdOBlLwO9NA,schlotzskys-willis,Schlotzsky's,https://s3-media3.fl.yelpcdn.com/bphoto/J_NgY5Aw82JkWlsblng-JA/o.jpg,True,False,https://www.yelp.com/biz/schlotzskys-willis?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19366665537,(936) 666-5537,40,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'catering', 'title': 'Caterers'}]",2.0,"{'address1': '12709 I45 S', 'address2': 'Ste 600', 'address3': '', 'city': 'Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['12709 I45 S', 'Ste 600', 'Willis, TX 77318'], 'cross_streets': ''}","{'latitude': 30.423569394629137, 'longitude': -95.49433023788633}","['https://s3-media2.fl.yelpcdn.com/bphoto/vKbRP7oOwgB8dJEX-Z9S2Q/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/gUb7IKb8bWdRHvPj2YddEg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/xXGt8W1GDvxsc56lkA75Ig/o.jpg']","['pickup', 'delivery']",,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",$,
9,B5iewRaebSU3RaQrIUEBtw,papa-johns-pizza-west-willis-3,Papa Johns Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/YGfTEY9-6ugEPzb43QIaTw/o.jpg,True,False,https://www.yelp.com/biz/papa-johns-pizza-west-willis-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19368563400,(936) 856-3400,9,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",2.0,"{'address1': '9521 W Fm 1097', 'address2': 'Ste E', 'address3': None, 'city': 'West Willis', 'zip_code': '77318', 'country': 'US', 'state': 'TX', 'display_address': ['9521 W Fm 1097', 'Ste E', 'West Willis, TX 77318'], 'cross_streets': ''}","{'latitude': 30.42004031125409, 'longitude': -95.4949181635092}","['https://s3-media2.fl.yelpcdn.com/bphoto/YGfTEY9-6ugEPzb43QIaTw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/IPipVPUt6Si7fQVYJWzu6w/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/j2_Jp-CTFtkIssuNbz-41w/o.jpg']","['pickup', 'delivery']",,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",$,
