,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,price,hours,transactions,special_hours,messaging
0,9VqZZiaiyGH_6smpvUKaQQ,tender-smokehouse-aubrey-aubrey,Tender Smokehouse - Aubrey,https://s3-media4.fl.yelpcdn.com/bphoto/nGOFBMf6G7ReMz1d-ET5qw/o.jpg,True,False,https://www.yelp.com/biz/tender-smokehouse-aubrey-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12146120059,(214) 612-0059,127,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'address1': '26781 E Highway 380', 'address2': None, 'address3': '', 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26781 E Highway 380', 'Aubrey, TX 76227'], 'cross_streets': ''}","{'latitude': 33.2203201, 'longitude': -96.9177013}","['https://s3-media4.fl.yelpcdn.com/bphoto/nGOFBMf6G7ReMz1d-ET5qw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/K7dACMjnkmgmur6nExdtug/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/Bp3gTtqLsZwbys7Wc3Wc6w/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],"[{'date': '2022-11-24', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-11-25', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-24', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-25', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-27', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-28', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-28', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-29', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-29', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-30', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-30', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-31', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2022-12-31', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}, {'date': '2023-01-01', 'is_closed': True, 'start': None, 'end': None, 'is_overnight': None}]",
1,dPaJzxW0foPByEXbPFkh_Q,fresh-thai-aubrey,Fresh Thai,https://s3-media3.fl.yelpcdn.com/bphoto/P6DCaFy1oi8Y8XBBeWIHcQ/o.jpg,True,False,https://www.yelp.com/biz/fresh-thai-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19404401350,(940) 440-1350,141,"[{'alias': 'thai', 'title': 'Thai'}]",4.0,"{'address1': '26785 US Highway 380 E', 'address2': 'Ste 100', 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26785 US Highway 380 E', 'Ste 100', 'Aubrey, TX 76227'], 'cross_streets': ''}","{'latitude': 33.220298, 'longitude': -96.915275}","['https://s3-media3.fl.yelpcdn.com/bphoto/P6DCaFy1oi8Y8XBBeWIHcQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/lBt4bnOnQyvPrPSHuYqcVw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/QO3q_ZdUc4OQ6__F9RasyA/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']",,
2,RhL6hXqiz_nMz06Xx7tBcg,mudeas-cafe-east-aubrey,Mudea's Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/Z5-LU7zhMTmS9XUOICa2VQ/o.jpg,True,False,https://www.yelp.com/biz/mudeas-cafe-east-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+14693000250,(469) 300-0250,8,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'address1': '26780 US-380', 'address2': None, 'address3': None, 'city': 'East Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26780 US-380', 'East Aubrey, TX 76227'], 'cross_streets': ''}","{'latitude': 33.2196038, 'longitude': -96.9164272}","['https://s3-media1.fl.yelpcdn.com/bphoto/Z5-LU7zhMTmS9XUOICa2VQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/w1mFQXBM5t4iNiW8FabJlA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/CnKssfuUcpAgs_JrO8hr3w/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1500', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1500', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1500', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1500', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1300', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['pickup', 'delivery']",,
3,yawhLqszfIp9q1aGNdLoig,los-suarez-aubrey-3,Los Suarez,https://s3-media4.fl.yelpcdn.com/bphoto/VrXN6MFynn1v00l6ZL8H8A/o.jpg,True,False,https://www.yelp.com/biz/los-suarez-aubrey-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12145174637,(214) 517-4637,23,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'address1': '26783 E University Dr', 'address2': None, 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26783 E University Dr', 'Aubrey, TX 76227'], 'cross_streets': ''}","{'latitude': 33.22008910000264, 'longitude': -96.9156268527992}","['https://s3-media4.fl.yelpcdn.com/bphoto/VrXN6MFynn1v00l6ZL8H8A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/xFRSP4ePhPoOC09Uo2DUuA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/bHkSxbtShB_DyEU1IwFF2g/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['pickup', 'delivery']",,
4,g_XBHNmwfPUOI4qE_bBgPQ,sushibachi-aubrey,SushiBachi,https://s3-media2.fl.yelpcdn.com/bphoto/qoypfUQDLzPcP2SD0iUDmw/o.jpg,True,False,https://www.yelp.com/biz/sushibachi-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+14694816051,(469) 481-6051,83,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",3.0,"{'address1': '26745 E University Dr', 'address2': 'Ste 104', 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26745 E University Dr', 'Ste 104', 'Aubrey, TX 76227'], 'cross_streets': ''}","{'latitude': 33.2193, 'longitude': -96.88921}","['https://s3-media2.fl.yelpcdn.com/bphoto/qoypfUQDLzPcP2SD0iUDmw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/Wy2bQADEIKbJtcT2ukhw3g/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/K9VnbY4JLPDyzelkE3gKAw/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1430', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1430', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1430', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1430', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1430', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1430', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['pickup', 'delivery']",,"{'url': 'https://www.yelp.com/raq/g_XBHNmwfPUOI4qE_bBgPQ?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}"
5,n9xpJEWHDFXu5AdrOWBILQ,spicy-tails-aubrey-2,Spicy Tails,https://s3-media3.fl.yelpcdn.com/bphoto/KJruQXqGJ7VpJHTtjtuB6Q/o.jpg,True,False,https://www.yelp.com/biz/spicy-tails-aubrey-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+14697759868,(469) 775-9868,8,"[{'alias': 'seafood', 'title': 'Seafood'}]",3.5,"{'address1': '26785 E University Dr', 'address2': None, 'address3': '', 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26785 E University Dr', 'Aubrey, TX 76227'], 'cross_streets': ''}","{'latitude': 33.22073, 'longitude': -96.915228}","['https://s3-media3.fl.yelpcdn.com/bphoto/KJruQXqGJ7VpJHTtjtuB6Q/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/OFVCdU-fi4GRWjsQhh1Ckg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/h2_VR7UlOQFEDvQULmF10Q/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1400', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],,"{'url': 'https://www.yelp.com/raq/n9xpJEWHDFXu5AdrOWBILQ?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}"
6,amB9cpkO5890MXGctomQ9A,jonny-s-pizza-aubrey,Jonny’s Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/LiqruEcR6jUi4N_PRsI07A/o.jpg,True,False,https://www.yelp.com/biz/jonny-s-pizza-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12143055040,(214) 305-5040,178,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",3.5,"{'address1': '26742 US-380', 'address2': 'Ste 200', 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26742 US-380', 'Ste 200', 'Aubrey, TX 76227'], 'cross_streets': ''}","{'latitude': 33.220376, 'longitude': -96.932803}","['https://s3-media2.fl.yelpcdn.com/bphoto/LiqruEcR6jUi4N_PRsI07A/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/px8NUke_YLYZUfADlbmnKw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/6K-2EKXsJDRQDLDEwGvgUQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']",,
7,6OKBmFJjhrfUx_lkaZK9Kg,wing-dash-aubrey,Wing Dash,https://s3-media4.fl.yelpcdn.com/bphoto/aR1wpU8dkJcpOVDwh1R7yw/o.jpg,True,False,https://www.yelp.com/biz/wing-dash-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+14694812032,(469) 481-2032,14,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",3.5,"{'address1': '26745 US-380', 'address2': 'Ste 102', 'address3': '', 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26745 US-380', 'Ste 102', 'Aubrey, TX 76227'], 'cross_streets': ''}","{'latitude': 33.22088, 'longitude': -96.92939}","['https://s3-media4.fl.yelpcdn.com/bphoto/aR1wpU8dkJcpOVDwh1R7yw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/qirTshc6OlRzsy0krNhVdg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/Cyk3ygUn5pfG_tYpnorHjg/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],,
8,kXFTbwklmU1HUx3fNkxXRA,teaco-aubrey-3,TEACo,https://s3-media2.fl.yelpcdn.com/bphoto/gRWeHfgP7NU9tvE0NRPfPQ/o.jpg,True,False,https://www.yelp.com/biz/teaco-aubrey-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19404401340,(940) 440-1340,69,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'address1': '26742 US Highway 380 E', 'address2': None, 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26742 US Highway 380 E', 'Aubrey, TX 76227'], 'cross_streets': ''}","{'latitude': 33.220291, 'longitude': -96.932553}","['https://s3-media2.fl.yelpcdn.com/bphoto/gRWeHfgP7NU9tvE0NRPfPQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/RL7m7OQ9pz3yXQpfhobz4g/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/D5JpeXEDZ9XmrqiOwm5L4Q/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['pickup', 'delivery']",,"{'url': 'https://www.yelp.com/raq/kXFTbwklmU1HUx3fNkxXRA?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}"
9,mtFwCHKKM42nVSyCCBiM5g,wendy-s-aubrey,Wendy’s,https://s3-media2.fl.yelpcdn.com/bphoto/D2aF3Vf9vT2OG89jewWoVw/o.jpg,False,False,https://www.yelp.com/biz/wendy-s-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+19723479171,(972) 347-9171,35,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.0,"{'address1': '26751 E University Dr', 'address2': '', 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26751 E University Dr', 'Aubrey, TX 76227'], 'cross_streets': ''}","{'latitude': 33.221356, 'longitude': -96.931212}","['https://s3-media2.fl.yelpcdn.com/bphoto/D2aF3Vf9vT2OG89jewWoVw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/5wEmmynysmk4XC9L6rNgaQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/1r4vpr3yiN1plj9ljZ1jBg/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],,
