,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,price,hours,transactions,messaging,special_hours
0,O4p1gp7ywsCaMxw_jgO34A,tavern-at-eagle-island-meridian-2,Tavern at Eagle Island,https://s3-media4.fl.yelpcdn.com/bphoto/BwaTJCjLq73iOTvZ15W0PQ/o.jpg,True,False,https://www.yelp.com/biz/tavern-at-eagle-island-meridian-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12089945577,(208) 994-5577,131,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'address1': '6500N Linder Rd', 'address2': None, 'address3': '', 'city': 'Meridian', 'zip_code': '83646', 'country': 'US', 'state': 'ID', 'display_address': ['6500N Linder Rd', 'Meridian, ID 83646'], 'cross_streets': ''}","{'latitude': 43.663451, 'longitude': -116.413247}","['https://s3-media4.fl.yelpcdn.com/bphoto/BwaTJCjLq73iOTvZ15W0PQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/SOH-NVTmvUGHzsPabmcR7w/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/3g7pf-6sf90gLFDbR0C1Xg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],,
1,3GfRnrzvwac11XozXE9mzg,flatbread-neapolitan-pizzeria-meridian-7,Flatbread Neapolitan Pizzeria,https://s3-media4.fl.yelpcdn.com/bphoto/8pqGHKqjoGAh5r4FOEIHCQ/o.jpg,True,False,https://www.yelp.com/biz/flatbread-neapolitan-pizzeria-meridian-7?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12085018567,(208) 501-8567,276,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'address1': '6700 N Linder Rd', 'address2': 'Ste 192', 'address3': 'Eagle Island Shopping Center', 'city': 'Meridian', 'zip_code': '83646', 'country': 'US', 'state': 'ID', 'display_address': ['6700 N Linder Rd', 'Ste 192', 'Eagle Island Shopping Center', 'Meridian, ID 83646'], 'cross_streets': ''}","{'latitude': 43.665711, 'longitude': -116.412585}","['https://s3-media4.fl.yelpcdn.com/bphoto/8pqGHKqjoGAh5r4FOEIHCQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/_sHiFMWWLrMCc1Jez-FCsQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/wat1scNm0WTgtd5dQq2hpQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['delivery', 'restaurant_reservation']","{'url': 'https://www.yelp.com/raq/3GfRnrzvwac11XozXE9mzg?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}",
2,5KTQ_OfaVRAl4BC13rxE3Q,teriyaki-madness-meridian,Teriyaki Madness,https://s3-media4.fl.yelpcdn.com/bphoto/pwHeZIvajBn949vd58gmLw/o.jpg,True,False,https://www.yelp.com/biz/teriyaki-madness-meridian?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12088559026,(208) 855-9026,37,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"{'address1': '1653 W Island Green', 'address2': 'Ste 130', 'address3': None, 'city': 'Meridian', 'zip_code': '83646', 'country': 'US', 'state': 'ID', 'display_address': ['1653 W Island Green', 'Ste 130', 'Meridian, ID 83646'], 'cross_streets': ''}","{'latitude': 43.663769, 'longitude': -116.4143529}","['https://s3-media4.fl.yelpcdn.com/bphoto/pwHeZIvajBn949vd58gmLw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/4T22I4fBY0kRf-O8j00Vog/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/wkSFWf6AyfQymL7uPUVRZA/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']","{'url': 'https://www.yelp.com/raq/5KTQ_OfaVRAl4BC13rxE3Q?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}",
3,6dVaWHvm8YEw11eHgDH2eQ,cupbop-meridian-2,Cupbop - Korean BBQ,https://s3-media1.fl.yelpcdn.com/bphoto/dexCw75uOjD-hKPtZ29Y9A/o.jpg,True,False,https://www.yelp.com/biz/cupbop-meridian-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12088959737,(208) 895-9737,194,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.0,"{'address1': '1520 W Chinden Blvd 104', 'address2': 'Ste 104', 'address3': None, 'city': 'Meridian', 'zip_code': '83646', 'country': 'US', 'state': 'ID', 'display_address': ['1520 W Chinden Blvd 104', 'Ste 104', 'Meridian, ID 83646'], 'cross_streets': ''}","{'latitude': 43.663429, 'longitude': -116.412718}","['https://s3-media1.fl.yelpcdn.com/bphoto/dexCw75uOjD-hKPtZ29Y9A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/O5-oRJAylDiuWfnJLbtzDg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/Nm2Rkh7H1Bx-G0VILvgMbA/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['delivery', 'pickup']","{'url': 'https://www.yelp.com/raq/6dVaWHvm8YEw11eHgDH2eQ?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}",
4,Qmxqc_JtDSVscrjh2rdesw,bruchis-cheesesteaks-and-subs-meridian,Bruchi's CheeseSteaks & Subs,https://s3-media4.fl.yelpcdn.com/bphoto/Gjyd4anpQyszx7sPp8JvZA/o.jpg,True,False,https://www.yelp.com/biz/bruchis-cheesesteaks-and-subs-meridian?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12082884385,(208) 288-4385,111,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'cheesesteaks', 'title': 'Cheesesteaks'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'address1': '1793 W Chinden Blvd', 'address2': '', 'address3': None, 'city': 'Meridian', 'zip_code': '83646', 'country': 'US', 'state': 'ID', 'display_address': ['1793 W Chinden Blvd', 'Meridian, ID 83646'], 'cross_streets': ''}","{'latitude': 43.6627750054445, 'longitude': -116.415853835642}","['https://s3-media4.fl.yelpcdn.com/bphoto/Gjyd4anpQyszx7sPp8JvZA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/TlLeTiekmdzjTbtAlZPtUw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/SpZSmH-jEns_vKqgYZVtuw/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],"{'url': 'https://www.yelp.com/raq/Qmxqc_JtDSVscrjh2rdesw?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow#popup%3Araq', 'use_case_text': 'Message the Business'}",
5,qAG9yKj4PYonW63ZdEa0uA,boise-fry-company-meridian-3,Boise Fry Company,https://s3-media2.fl.yelpcdn.com/bphoto/w1aKOmuMVxOR4JyaWUs5pg/o.jpg,True,False,https://www.yelp.com/biz/boise-fry-company-meridian-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12082072524,(208) 207-2524,31,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",2.5,"{'address1': '1240 W Chinden Blvd', 'address2': 'Ste 100', 'address3': '', 'city': 'Meridian', 'zip_code': '83646', 'country': 'US', 'state': 'ID', 'display_address': ['1240 W Chinden Blvd', 'Ste 100', 'Meridian, ID 83646'], 'cross_streets': ''}","{'latitude': 43.66304, 'longitude': -116.40884}","['https://s3-media2.fl.yelpcdn.com/bphoto/w1aKOmuMVxOR4JyaWUs5pg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/OQ1M3wcR0RvH9iVhfodziQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/T6nP4fGMnOV9awiYPOLBZw/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],,
6,YJJHFq1_CQnCm_oXcO23Ag,great-harvest-bread-co-eagle-eagle,Great Harvest Bread Co Eagle,https://s3-media1.fl.yelpcdn.com/bphoto/T68_fZDUREeDJs1LKwELKw/o.jpg,True,False,https://www.yelp.com/biz/great-harvest-bread-co-eagle-eagle?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12088844411,(208) 884-4411,27,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,"{'address1': '4363 W Gray Fox St', 'address2': '', 'address3': None, 'city': 'Eagle', 'zip_code': '83616', 'country': 'US', 'state': 'ID', 'display_address': ['4363 W Gray Fox St', 'Eagle, ID 83616'], 'cross_streets': ''}","{'latitude': 43.66330819962057, 'longitude': -116.40807592774875}","['https://s3-media1.fl.yelpcdn.com/bphoto/T68_fZDUREeDJs1LKwELKw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/xCUAbFhq3OU4q2E5pXpvbA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/IE_TsVH_C_OEq-QFyOBnRw/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']",,
7,lQfoxruhjhFQnJLOmILNAw,costa-vida-eagle-5,Costa Vida,https://s3-media4.fl.yelpcdn.com/bphoto/7dF6JCqjzTWGeVzRaAoDSA/o.jpg,True,False,https://www.yelp.com/biz/costa-vida-eagle-5?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12088848291,(208) 884-8291,52,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",3.5,"{'address1': '4363 W Gray Fox St', 'address2': 'Ste 101', 'address3': None, 'city': 'Eagle', 'zip_code': '83616', 'country': 'US', 'state': 'ID', 'display_address': ['4363 W Gray Fox St', 'Ste 101', 'Eagle, ID 83616'], 'cross_streets': ''}","{'latitude': 43.66330693320233, 'longitude': -116.407909355802}","['https://s3-media4.fl.yelpcdn.com/bphoto/7dF6JCqjzTWGeVzRaAoDSA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/EQXHN2lLGGWALJYFkmRLgw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/-d884h2aWMXPyVU-cfLVSA/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['delivery', 'pickup']",,
8,Nvidc0_2sYA5ZHrLmXs_0A,blaze-pizza-eagle-3,Blaze Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/-_yLK5qDqEXxbnI4qzWHgQ/o.jpg,True,False,https://www.yelp.com/biz/blaze-pizza-eagle-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12084377029,(208) 437-7029,45,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'pizza', 'title': 'Pizza'}]",3.0,"{'address1': '4363 W Gray Fox St', 'address2': 'Ste 115', 'address3': None, 'city': 'Eagle', 'zip_code': '83616', 'country': 'US', 'state': 'ID', 'display_address': ['4363 W Gray Fox St', 'Ste 115', 'Eagle, ID 83616'], 'cross_streets': ''}","{'latitude': 43.66328955, 'longitude': -116.408275}","['https://s3-media2.fl.yelpcdn.com/bphoto/-_yLK5qDqEXxbnI4qzWHgQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/cIcwJDyPqTDsbRDPeu8ksg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/gBg4upm3AgLbxx-bJxWAsA/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['delivery', 'pickup']",,
9,PSy-g99cUhi0FRyTKmPRQg,taco-bell-eagle-3,Taco Bell,https://s3-media2.fl.yelpcdn.com/bphoto/2qKbIYnhi2SVDKglo3AYyg/o.jpg,True,False,https://www.yelp.com/biz/taco-bell-eagle-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EjJOP1_jhd0snVm2xqXOow,+12088885333,(208) 888-5333,60,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",1.5,"{'address1': '6560 N. Linder Road', 'address2': '', 'address3': '', 'city': 'Eagle', 'zip_code': '83616', 'country': 'US', 'state': 'ID', 'display_address': ['6560 N. Linder Road', 'Eagle, ID 83616'], 'cross_streets': ''}","{'latitude': 43.664327, 'longitude': -116.413251}","['https://s3-media2.fl.yelpcdn.com/bphoto/2qKbIYnhi2SVDKglo3AYyg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/oWfkHeqE5REyit_6-4zfOA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/V31SjP8e5XGfUEbyZagzpw/o.jpg']",$,"[{'open': [{'is_overnight': True, 'start': '0700', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '0700', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '0700', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '0700', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '0700', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '0700', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '0700', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],,
