,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,NQ0pRcBM45akp3ms2EbbMg,on-demand-sushi-las-vegas-3,On Demand Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/op1vrOPjpERMn3t3S87jcA/o.jpg,False,https://www.yelp.com/biz/on-demand-sushi-las-vegas-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,247,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'poke', 'title': 'Poke'}]",4.5,"{'latitude': 36.085777, 'longitude': -115.314945}","['pickup', 'delivery']",$$,"{'address1': '5660 S Hualapai Way', 'address2': 'Unit 105', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['5660 S Hualapai Way', 'Unit 105', 'Las Vegas, NV 89148']}",+17029140033,(702) 914-0033,1033.5149026661354
1,JrSxduS5XN6TZZ_PyDz1Cg,squallys-juice-bar-and-cafe-hualapai-las-vegas,Squally's Juice Bar & Cafe - Hualapai,https://s3-media1.fl.yelpcdn.com/bphoto/XUHZf0cJNyP07vXgtWsiEg/o.jpg,False,https://www.yelp.com/biz/squallys-juice-bar-and-cafe-hualapai-las-vegas?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,12,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'acaibowls', 'title': 'Acai Bowls'}]",4.5,"{'latitude': 36.085757921417084, 'longitude': -115.3148344844134}","['pickup', 'delivery']",,"{'address1': '5660 S Hualapai Way', 'address2': 'Ste 104', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['5660 S Hualapai Way', 'Ste 104', 'Las Vegas, NV 89148']}",+17026052609,(702) 605-2609,1034.3081655279948
2,do8NhKHRiKpUtKb5xUL9kw,robertos-taco-shop-las-vegas-83,Roberto's Taco Shop,https://s3-media4.fl.yelpcdn.com/bphoto/bs9oLn0z1BD5w4j02kGNcQ/o.jpg,False,https://www.yelp.com/biz/robertos-taco-shop-las-vegas-83?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,33,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",3.0,"{'latitude': 36.071335255354604, 'longitude': -115.31537484998819}",['delivery'],,"{'address1': '6440 S Hualapai Way', 'address2': 'Ste 100', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6440 S Hualapai Way', 'Ste 100', 'Las Vegas, NV 89148']}",+17024622728,(702) 462-2728,662.8982422543864
3,n2kgJSiB7Q4u7AkDvYfzlg,munch-box-las-vegas-4,Munch Box,https://s3-media1.fl.yelpcdn.com/bphoto/63ptbUZSHJTGA2Gr5tOO1Q/o.jpg,False,https://www.yelp.com/biz/munch-box-las-vegas-4?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,284,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 36.07681, 'longitude': -115.29834}","['pickup', 'delivery']",$$,"{'address1': '6105 S Fort Apache Rd', 'address2': None, 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6105 S Fort Apache Rd', 'Las Vegas, NV 89148']}",+17027787458,(702) 778-7458,995.9440632920597
4,w2D-bXyIaKwh3AlEb-LygQ,big-bs-texas-bbq-las-vegas-2,Big B's Texas BBQ,https://s3-media4.fl.yelpcdn.com/bphoto/tTiaP309tTdOd-EH7glqgw/o.jpg,False,https://www.yelp.com/biz/big-bs-texas-bbq-las-vegas-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,538,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 36.077004, 'longitude': -115.298394}","['pickup', 'delivery']",$$,"{'address1': '6115 S Fort Apache Rd', 'address2': 'Ste 110', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6115 S Fort Apache Rd', 'Ste 110', 'Las Vegas, NV 89148']}",+17028448206,(702) 844-8206,969.6130934233526
5,_0x7W6fizaPP76xNBxBLAQ,stephanos-greek-and-mediterranean-grill-las-vegas-3,Stephano's Greek & Mediterranean Grill,https://s3-media3.fl.yelpcdn.com/bphoto/biwgvAdsS6RYAgKCzFOdhw/o.jpg,False,https://www.yelp.com/biz/stephanos-greek-and-mediterranean-grill-las-vegas-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,599,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}]",4.0,"{'latitude': 36.07751138877375, 'longitude': -115.29848591567}","['pickup', 'delivery']",$$,"{'address1': '6115 S Fort Apache Rd', 'address2': 'Ste 100', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6115 S Fort Apache Rd', 'Ste 100', 'Las Vegas, NV 89148']}",+17027958444,(702) 795-8444,963.9814988722566
6,NIOwzgujIXKVBEVNTQBXpg,jjanga-steak-and-sushi-las-vegas-5,Jjanga Steak & Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/TYJefy_BdUTaEVy1C-1jjg/o.jpg,False,https://www.yelp.com/biz/jjanga-steak-and-sushi-las-vegas-5?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,2320,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'teppanyaki', 'title': 'Teppanyaki'}]",4.0,"{'latitude': 36.07668800194289, 'longitude': -115.29853606744115}","['pickup', 'delivery']",$$,"{'address1': '6125 S Fort Apache Rd', 'address2': 'Ste 200', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6125 S Fort Apache Rd', 'Ste 200', 'Las Vegas, NV 89148']}",+17029148821,(702) 914-8821,956.881898223775
7,Se-co1eXBho5A4YwMfKMIQ,griddlecakes-las-vegas-6,Griddlecakes,https://s3-media4.fl.yelpcdn.com/bphoto/mzNHumqLa_1dRkfnHf92FQ/o.jpg,False,https://www.yelp.com/biz/griddlecakes-las-vegas-6?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,660,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pancakes', 'title': 'Pancakes'}]",4.0,"{'latitude': 36.07866, 'longitude': -115.29828}","['pickup', 'delivery']",$$,"{'address1': '6085 S Fort Apache Rd', 'address2': 'Ste 180', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6085 S Fort Apache Rd', 'Ste 180', 'Las Vegas, NV 89148']}",+17028918918,(702) 891-8918,962.1602041197101
8,v1_eNyGhoW8fxeteenxGzg,sip-and-savor-kitchen-las-vegas-2,Sip & Savor Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/oWN3V6a1KrNUGjcVxveRvQ/o.jpg,False,https://www.yelp.com/biz/sip-and-savor-kitchen-las-vegas-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,132,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,"{'latitude': 36.07191527192734, 'longitude': -115.29823504943556}",['delivery'],$$,"{'address1': '6415 S Fort Apache Rd', 'address2': '', 'address3': None, 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6415 S Fort Apache Rd', 'Las Vegas, NV 89148']}",+17252058539,(725) 205-8539,1126.68250058079
9,Zmfq3DVhHdtVChhSxzoUHw,panna-thai-restaurant-las-vegas-2,Panna Thai Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/eNUsg_XgyaL1nWUvkkb7PA/o.jpg,False,https://www.yelp.com/biz/panna-thai-restaurant-las-vegas-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,892,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 36.0785849, 'longitude': -115.29779}","['pickup', 'delivery']",$$,"{'address1': '6015 S Fort Apache Rd', 'address2': 'Ste 100', 'address3': '', 'city': 'Las Vegas', 'zip_code': '89148', 'country': 'US', 'state': 'NV', 'display_address': ['6015 S Fort Apache Rd', 'Ste 100', 'Las Vegas, NV 89148']}",+17028232345,(702) 823-2345,982.8814019935719
