,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,9VqZZiaiyGH_6smpvUKaQQ,tender-smokehouse-aubrey-aubrey,Tender Smokehouse - Aubrey,https://s3-media4.fl.yelpcdn.com/bphoto/nGOFBMf6G7ReMz1d-ET5qw/o.jpg,False,https://www.yelp.com/biz/tender-smokehouse-aubrey-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,126,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 33.2203201, 'longitude': -96.9177013}",[],$$,"{'address1': '26781 E Highway 380', 'address2': None, 'address3': '', 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26781 E Highway 380', 'Aubrey, TX 76227']}",+12146120059,(214) 612-0059,630.4327896058612
1,dPaJzxW0foPByEXbPFkh_Q,fresh-thai-aubrey,Fresh Thai,https://s3-media3.fl.yelpcdn.com/bphoto/P6DCaFy1oi8Y8XBBeWIHcQ/o.jpg,False,https://www.yelp.com/biz/fresh-thai-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,141,"[{'alias': 'thai', 'title': 'Thai'}]",4.0,"{'latitude': 33.220298, 'longitude': -96.915275}","['delivery', 'pickup']",$$,"{'address1': '26785 US Highway 380 E', 'address2': 'Ste 100', 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26785 US Highway 380 E', 'Ste 100', 'Aubrey, TX 76227']}",+19404401350,(940) 440-1350,702.7763463803898
2,yawhLqszfIp9q1aGNdLoig,los-suarez-aubrey-3,Los Suarez,https://s3-media4.fl.yelpcdn.com/bphoto/VrXN6MFynn1v00l6ZL8H8A/o.jpg,False,https://www.yelp.com/biz/los-suarez-aubrey-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,23,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 33.22008910000264, 'longitude': -96.9156268527992}","['delivery', 'pickup']",$$,"{'address1': '26783 E University Dr', 'address2': None, 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26783 E University Dr', 'Aubrey, TX 76227']}",+12145174637,(214) 517-4637,667.2376432883909
3,RhL6hXqiz_nMz06Xx7tBcg,mudeas-cafe-east-aubrey,Mudea's Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/Z5-LU7zhMTmS9XUOICa2VQ/o.jpg,False,https://www.yelp.com/biz/mudeas-cafe-east-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,8,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 33.2196038, 'longitude': -96.9164272}","['delivery', 'pickup']",,"{'address1': '26780 US-380', 'address2': None, 'address3': None, 'city': 'East Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26780 US-380', 'East Aubrey, TX 76227']}",+14693000250,(469) 300-0250,588.55267126391
4,g_XBHNmwfPUOI4qE_bBgPQ,sushibachi-aubrey,SushiBachi,https://s3-media2.fl.yelpcdn.com/bphoto/qoypfUQDLzPcP2SD0iUDmw/o.jpg,False,https://www.yelp.com/biz/sushibachi-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,82,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",3.5,"{'latitude': 33.2193, 'longitude': -96.88921}","['delivery', 'pickup']",,"{'address1': '26745 E University Dr', 'address2': 'Ste 104', 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26745 E University Dr', 'Ste 104', 'Aubrey, TX 76227']}",+14694816051,(469) 481-6051,922.9686912654145
5,amB9cpkO5890MXGctomQ9A,jonny-s-pizza-aubrey,Jonny’s Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/LiqruEcR6jUi4N_PRsI07A/o.jpg,False,https://www.yelp.com/biz/jonny-s-pizza-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,178,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",3.5,"{'latitude': 33.220376, 'longitude': -96.932803}","['delivery', 'pickup']",$$,"{'address1': '26742 US-380', 'address2': 'Ste 200', 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26742 US-380', 'Ste 200', 'Aubrey, TX 76227']}",+12143055040,(214) 305-5040,942.0153864942613
6,6OKBmFJjhrfUx_lkaZK9Kg,wing-dash-aubrey,Wing Dash,https://s3-media4.fl.yelpcdn.com/bphoto/9EotXsrg-gAxqCkKwRoX2w/o.jpg,False,https://www.yelp.com/biz/wing-dash-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,14,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",3.5,"{'latitude': 33.22088, 'longitude': -96.92939}",[],,"{'address1': '26745 US-380', 'address2': 'Ste 102', 'address3': '', 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26745 US-380', 'Ste 102', 'Aubrey, TX 76227']}",+14694812032,(469) 481-2032,915.4022266899735
7,n9xpJEWHDFXu5AdrOWBILQ,spicy-tails-aubrey-2,Spicy Tails,https://s3-media3.fl.yelpcdn.com/bphoto/h2_VR7UlOQFEDvQULmF10Q/o.jpg,False,https://www.yelp.com/biz/spicy-tails-aubrey-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,8,"[{'alias': 'seafood', 'title': 'Seafood'}]",3.5,"{'latitude': 33.22073, 'longitude': -96.915228}",[],,"{'address1': '26785 E University Dr', 'address2': None, 'address3': '', 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26785 E University Dr', 'Aubrey, TX 76227']}",+14697759868,(469) 775-9868,713.0950419873675
8,kXFTbwklmU1HUx3fNkxXRA,teaco-aubrey-3,TEACo,https://s3-media2.fl.yelpcdn.com/bphoto/gRWeHfgP7NU9tvE0NRPfPQ/o.jpg,False,https://www.yelp.com/biz/teaco-aubrey-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,68,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 33.220291, 'longitude': -96.932553}","['delivery', 'pickup']",,"{'address1': '26742 US Highway 380 E', 'address2': None, 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26742 US Highway 380 E', 'Aubrey, TX 76227']}",+19404401340,(940) 440-1340,917.8260494479215
9,mtFwCHKKM42nVSyCCBiM5g,wendy-s-aubrey,Wendy’s,https://s3-media2.fl.yelpcdn.com/bphoto/D2aF3Vf9vT2OG89jewWoVw/o.jpg,False,https://www.yelp.com/biz/wendy-s-aubrey?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,35,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.0,"{'latitude': 33.221356, 'longitude': -96.931212}",['delivery'],,"{'address1': '26751 E University Dr', 'address2': '', 'address3': None, 'city': 'Aubrey', 'zip_code': '76227', 'country': 'US', 'state': 'TX', 'display_address': ['26751 E University Dr', 'Aubrey, TX 76227']}",+19723479171,(972) 347-9171,817.7337465362109
