id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
2z7Qw5FCDtUtZzEj8VX4-A,craftway-kitchen-frisco-frisco,CraftWay Kitchen Frisco,https://s3-media3.fl.yelpcdn.com/bphoto/hWsKj1j10_yE3rdDSlsZUw/o.jpg,False,https://www.yelp.com/biz/craftway-kitchen-frisco-frisco?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,60,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 33.1155666, 'longitude': -96.8373088}",[],"{'address1': '5729 Lebanon Rd', 'address2': 'Suite 100', 'address3': '', 'city': 'Frisco', 'zip_code': '75034', 'country': 'US', 'state': 'TX', 'display_address': ['5729 Lebanon Rd', 'Suite 100', 'Frisco, TX 75034']}",,,2521.687517346038,
8T6RDK7XZMBM0g1mX4Pydw,tricky-fish-frisco,Tricky Fish ,https://s3-media2.fl.yelpcdn.com/bphoto/n-g8d3rcXIIHP9Si5gwwqA/o.jpg,False,https://www.yelp.com/biz/tricky-fish-frisco?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,17,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 33.1088, 'longitude': -96.82743}",[],"{'address1': '6775 Cowboys Way', 'address2': 'Ste 1305', 'address3': None, 'city': 'Frisco', 'zip_code': '75034', 'country': 'US', 'state': 'TX', 'display_address': ['6775 Cowboys Way', 'Ste 1305', 'Frisco, TX 75034']}",+14693842660,(469) 384-2660,2729.7812837019937,
WpOkFfb8xuaYV8SQfc3Yzg,berries-and-batter-cafe-frisco-4,Berries & Batter Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/mqXL79FyiFvnNw87-L3bKQ/o.jpg,False,https://www.yelp.com/biz/berries-and-batter-cafe-frisco-4?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,122,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 33.15279832028114, 'longitude': -96.86637920431652}",[],"{'address1': '2727 Main St', 'address2': 'Ste 600  600', 'address3': None, 'city': 'Frisco', 'zip_code': '75036', 'country': 'US', 'state': 'TX', 'display_address': ['2727 Main St', 'Ste 600  600', 'Frisco, TX 75036']}",+12144077112,(214) 407-7112,4957.237630641086,$$
8FJUasAEr9GbM6bt9z4o3w,rodeo-goat-frisco-2,Rodeo Goat,https://s3-media4.fl.yelpcdn.com/bphoto/ocCmqyAgK8LTsNsFL7hWVQ/o.jpg,False,https://www.yelp.com/biz/rodeo-goat-frisco-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,43,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 33.10503, 'longitude': -96.80597}",[],"{'address1': '3111 Preston Rd', 'address2': '', 'address3': None, 'city': 'Frisco', 'zip_code': '75034', 'country': 'US', 'state': 'TX', 'display_address': ['3111 Preston Rd', 'Frisco, TX 75034']}",+14699624628,(469) 962-4628,3195.999839936788,$$
GMig8rc2x9Y_Bl7tXF4wXg,farm-feed-plano,Farm + Feed,https://s3-media4.fl.yelpcdn.com/bphoto/kQAliTdh0mji6Wp70rMcgg/o.jpg,False,https://www.yelp.com/biz/farm-feed-plano?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,57,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 33.07898, 'longitude': -96.82285}",[],"{'address1': '7401 Lone Star Dr', 'address2': None, 'address3': '', 'city': 'Plano', 'zip_code': '75024', 'country': 'US', 'state': 'TX', 'display_address': ['7401 Lone Star Dr', 'Plano, TX 75024']}",+14323563467,(432) 356-3467,5864.1874770289905,$$
5c1hPEl9jH5lK1VfLSeEfw,haywire-plano,Haywire,https://s3-media1.fl.yelpcdn.com/bphoto/98EPHTwDdCW8godbB9gDdA/o.jpg,False,https://www.yelp.com/biz/haywire-plano?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,1699,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 33.082819, 'longitude': -96.825885}",['delivery'],"{'address1': '5901 Winthrop St', 'address2': 'Ste 110', 'address3': None, 'city': 'Plano', 'zip_code': '75024', 'country': 'US', 'state': 'TX', 'display_address': ['5901 Winthrop St', 'Ste 110', 'Plano, TX 75024']}",+19727819473,(972) 781-9473,5542.204079135699,$$
VBJAHggfAaYeLGpgh-VDLg,tupelo-honey-frisco-3,Tupelo Honey,https://s3-media3.fl.yelpcdn.com/bphoto/AbptUXXU-LrSiAx78vvLTA/o.jpg,False,https://www.yelp.com/biz/tupelo-honey-frisco-3?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,1126,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 33.1070548073019, 'longitude': -96.8274092674255}","['delivery', 'pickup']","{'address1': '6725 Winning Dr', 'address2': '', 'address3': None, 'city': 'Frisco', 'zip_code': '75034', 'country': 'US', 'state': 'TX', 'display_address': ['6725 Winning Dr', 'Frisco, TX 75034']}",+14694032160,(469) 403-2160,2916.060693441522,$$
xVz0QrAeFT7wrkmwyPdSyQ,the-aussie-grind-frisco,The Aussie Grind,https://s3-media4.fl.yelpcdn.com/bphoto/ZLvuSqh5xptImJoFqXY3uQ/o.jpg,False,https://www.yelp.com/biz/the-aussie-grind-frisco?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,836,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'australian', 'title': 'Australian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 33.111416, 'longitude': -96.805018}","['delivery', 'pickup']","{'address1': '3930 Preston Rd', 'address2': 'Ste 120', 'address3': None, 'city': 'Frisco', 'zip_code': '75034', 'country': 'US', 'state': 'TX', 'display_address': ['3930 Preston Rd', 'Ste 120', 'Frisco, TX 75034']}",+14694280966,(469) 428-0966,2668.324149030018,$$
7EFw8CZZ1uha_P5jBTrftw,baonecci-ristorante-frisco,Baonecci Ristorante,https://s3-media2.fl.yelpcdn.com/bphoto/z8mM3z68s8XIBJo7-qRARQ/o.jpg,False,https://www.yelp.com/biz/baonecci-ristorante-frisco?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,43,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 33.13836137573413, 'longitude': -96.80616407054988}",[],"{'address1': '7151 Preston Rd', 'address2': 'Ste 451', 'address3': None, 'city': 'Frisco', 'zip_code': '75034', 'country': 'US', 'state': 'TX', 'display_address': ['7151 Preston Rd', 'Ste 451', 'Frisco, TX 75034']}",+14694734080,(469) 473-4080,1376.498662110962,
9rZ3eEJIOZ4I4LNbF6AJfA,the-yard-mckinney-2,The Yard,https://s3-media4.fl.yelpcdn.com/bphoto/27433O0uRz9e0mpt6hVWIg/o.jpg,False,https://www.yelp.com/biz/the-yard-mckinney-2?adjust_creative=EjJOP1_jhd0snVm2xqXOow&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EjJOP1_jhd0snVm2xqXOow,546,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 33.1960814737524, 'longitude': -96.6172126441803}",['delivery'],"{'address1': '107 S Church St', 'address2': '', 'address3': None, 'city': 'McKinney', 'zip_code': '75069', 'country': 'US', 'state': 'TX', 'display_address': ['107 S Church St', 'McKinney, TX 75069']}",+14696310035,(469) 631-0035,20082.43610753976,$$
