"","is_claimed","review_count","rating","restaurant_category","pickup","delivery","reservation","price","State","messaging","Open_Breakfast","Open_Lunch","Open_Dinner","Open_Late"
"1",TRUE,127,"high","american",0,0,0,"Medium","TX",0,1,1,1,0
"2",TRUE,141,"high","asian",1,1,0,"Medium","TX",0,0,1,1,0
"3",TRUE,8,"high","american",1,1,0,"NA","TX",0,0,0,1,0
"4",TRUE,23,"high","latin",1,1,0,"Medium","TX",0,0,1,1,0
"5",TRUE,83,"low","asian",1,1,0,"NA","TX",1,0,1,0,0
"6",TRUE,8,"low","other",0,0,0,"NA","TX",1,0,0,1,0
"7",TRUE,178,"low","european",1,1,0,"Medium","TX",0,0,1,1,0
"8",TRUE,14,"low","american",0,0,0,"NA","TX",0,1,1,1,1
"9",TRUE,69,"high","american",1,1,0,"NA","TX",1,0,1,1,0
"10",FALSE,35,"low","american",0,1,0,"NA","TX",0,1,1,1,1
"11",TRUE,38,"low","american",0,0,0,"Low","TX",1,1,1,1,1
"12",TRUE,23,"low","american",1,1,0,"Low","TX",1,1,1,1,1
"13",TRUE,1,"high","desserts",0,0,0,"Low","TX",0,0,0,0,0
"14",TRUE,78,"high","american",0,0,0,"Medium","TX",0,1,1,0,0
"15",TRUE,50,"high","asian",0,0,0,"NA","TX",0,0,1,1,0
"16",TRUE,10,"low","american",1,1,0,"NA","TX",1,1,1,1,1
"17",FALSE,2,"high","american",0,0,0,"NA","TX",0,0,0,0,0
"18",TRUE,25,"high","mideastern",1,1,0,"NA","TX",0,1,1,1,0
"19",TRUE,190,"high","european",1,1,0,"Low","TX",0,0,1,1,0
"20",TRUE,51,"low","american",1,1,0,"Medium","TX",1,0,0,1,1
"21",TRUE,17,"low","asian",1,1,0,"NA","TX",0,0,1,1,0
"22",TRUE,168,"high","american",1,1,0,"Medium","TX",0,1,1,1,1
"23",TRUE,58,"low","american",0,0,0,"NA","TX",0,0,0,1,1
"24",TRUE,19,"low","american",0,1,0,"NA","TX",0,1,1,1,1
"25",TRUE,61,"low","latin",0,1,0,"NA","TX",1,1,1,0,0
"26",TRUE,33,"high","american",1,1,0,"NA","TX",0,1,1,1,0
"27",TRUE,58,"low","american",1,1,0,"Medium","TX",1,1,0,1,1
"28",TRUE,25,"low","latin",0,1,0,"Low","TX",0,1,0,1,1
"29",TRUE,22,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"30",TRUE,45,"low","latin",0,0,0,"NA","TX",0,1,1,1,1
"31",TRUE,15,"high","american",1,1,0,"NA","TX",1,1,1,0,0
"32",TRUE,84,"low","american",1,1,0,"NA","TX",0,1,1,1,1
"33",TRUE,48,"low","american",0,1,0,"NA","TX",0,1,1,1,1
"34",FALSE,70,"low","american",0,1,0,"NA","TX",0,0,0,0,0
"35",TRUE,1,"low","latin",0,0,0,"NA","TX",0,1,0,1,1
"36",FALSE,29,"low","american",1,1,0,"NA","TX",0,0,0,0,0
"37",TRUE,30,"low","american",0,0,0,"NA","TX",0,0,0,1,1
"38",TRUE,112,"high","american",0,1,0,"Medium","TX",0,0,0,1,1
"39",FALSE,243,"high","asian",0,1,0,"Medium","TX",0,0,1,0,0
"40",TRUE,223,"low","american",0,0,0,"Medium","TX",0,0,0,1,1
"41",TRUE,33,"low","latin",0,0,0,"Medium","TX",0,0,1,1,0
"42",TRUE,182,"high","asian",1,1,0,"Medium","TX",0,0,1,1,1
"43",TRUE,79,"low","european",0,0,0,"Medium","TX",0,0,1,1,1
"44",TRUE,103,"low","american",0,0,0,"NA","TX",0,1,1,0,0
"45",TRUE,112,"low","american",0,1,0,"Low","TX",0,1,0,1,1
"46",TRUE,42,"low","american",1,1,0,"NA","TX",1,1,1,1,0
"47",TRUE,73,"low","american",0,1,0,"NA","TX",1,0,1,1,0
"48",TRUE,133,"low","latin",1,1,0,"Medium","TX",0,0,1,1,1
"49",TRUE,105,"low","american",1,1,0,"NA","TX",0,1,1,1,0
"50",TRUE,54,"low","american",1,1,0,"NA","TX",1,0,1,1,0
"51",TRUE,71,"low","american",0,0,0,"Low","TX",0,1,1,1,1
"52",TRUE,131,"high","asian",1,1,0,"Medium","TX",1,0,1,0,0
"53",TRUE,134,"high","european",1,1,0,"Medium","TX",0,0,1,1,1
"54",TRUE,7,"high","asian",1,1,0,"NA","TX",1,0,1,1,0
"55",TRUE,28,"high","latin",1,1,0,"NA","TX",1,0,1,1,0
"56",TRUE,27,"low","asian",1,1,0,"NA","TX",0,1,1,1,1
"57",TRUE,6,"high","breakfast",0,0,0,"NA","TX",1,1,1,0,0
"58",TRUE,58,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"59",TRUE,61,"high","european",1,1,0,"NA","TX",1,0,1,1,0
"60",TRUE,91,"high","american",0,0,0,"Medium","TX",0,1,1,0,0
"61",TRUE,239,"high","asian",0,1,0,"Medium","TX",0,0,1,1,0
"62",TRUE,168,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"63",FALSE,172,"low","latin",0,1,0,"Medium","TX",0,0,0,0,0
"64",FALSE,14,"low","american",0,0,0,"NA","TX",0,1,1,1,1
"65",TRUE,76,"low","american",1,1,0,"Medium","TX",1,0,1,1,0
"66",TRUE,58,"low","latin",1,1,0,"Low","TX",0,1,0,1,1
"67",TRUE,50,"low","american",0,0,0,"Medium","TX",0,0,1,1,1
"68",TRUE,56,"low","american",0,1,0,"Low","TX",0,1,0,1,1
"69",TRUE,60,"low","american",0,1,0,"Low","TX",0,1,0,1,1
"70",TRUE,47,"high","asian",1,1,0,"Medium","TX",0,0,1,0,0
"71",TRUE,77,"high","european",1,1,0,"NA","TX",1,1,1,1,1
"72",TRUE,244,"high","american",0,1,0,"Medium","TX",1,0,1,1,1
"73",TRUE,60,"low","american",1,1,0,"Low","TX",1,0,0,0,0
"74",TRUE,37,"low","american",1,1,0,"Low","TX",0,1,0,1,1
"75",FALSE,12,"low","american",0,0,0,"Low","TX",0,0,1,1,0
"76",TRUE,419,"high","european",0,1,0,"Medium","TX",0,0,1,1,1
"77",TRUE,116,"low","asian",0,1,0,"Medium","TX",0,0,1,1,0
"78",TRUE,58,"low","latin",0,1,0,"Low","TX",0,1,0,1,1
"79",TRUE,54,"low","american",0,1,0,"Low","TX",0,0,1,1,1
"80",TRUE,57,"low","american",0,0,0,"Low","TX",0,1,0,1,1
"81",TRUE,83,"high","asian",1,1,0,"NA","TX",1,0,1,0,0
"82",TRUE,49,"low","american",0,0,0,"Low","TX",0,1,1,1,1
"83",TRUE,257,"low","latin",1,1,0,"Low","TX",0,1,1,1,0
"84",TRUE,411,"high","breakfast",0,1,0,"Medium","TX",0,1,1,0,0
"85",FALSE,332,"high","asian",0,1,0,"Medium","TX",0,0,1,0,0
"86",TRUE,34,"low","american",0,1,0,"Low","TX",1,0,1,1,0
"87",TRUE,391,"low","american",0,1,0,"Medium","TX",0,0,0,1,1
"88",TRUE,126,"high","european",1,1,0,"Medium","TX",0,0,1,1,0
"89",TRUE,227,"high","latin",0,1,0,"Medium","TX",0,0,0,1,0
"90",TRUE,103,"low","american",1,1,0,"Medium","TX",0,0,0,1,1
"91",TRUE,18,"high","american",1,1,0,"Medium","TX",0,0,1,1,1
"92",TRUE,96,"low","american",1,1,0,"Medium","TX",0,0,0,1,1
"93",FALSE,102,"low","asian",1,0,0,"Low","TX",0,0,1,1,0
"94",TRUE,85,"high","desserts",1,1,0,"Low","TX",0,1,1,0,0
"95",TRUE,7,"low","american",1,1,0,"NA","TX",1,0,1,1,1
"96",TRUE,334,"low","european",1,1,0,"Low","TX",0,0,1,1,1
"97",TRUE,235,"low","asian",1,1,0,"Low","TX",1,0,1,1,0
"98",TRUE,140,"low","american",1,1,0,"Medium","TX",0,0,0,1,1
"99",TRUE,108,"low","asian",0,1,0,"Medium","TX",0,0,1,0,0
"100",TRUE,135,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"101",TRUE,69,"low","asian",1,1,0,"Low","TX",0,1,1,1,1
"102",TRUE,23,"low","american",1,1,0,"Low","TX",0,0,1,1,1
"103",TRUE,60,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"104",TRUE,62,"low","american",1,0,0,"Medium","TX",0,0,1,1,0
"105",TRUE,47,"low","american",0,1,0,"Low","TX",0,1,0,1,1
"106",TRUE,90,"low","asian",1,1,0,"Low","TX",0,0,1,1,0
"107",TRUE,165,"low","american",0,1,0,"Low","TX",0,1,0,1,1
"108",TRUE,41,"low","latin",0,1,0,"Low","TX",0,1,0,1,1
"109",TRUE,16,"low","american",0,1,0,"Low","TX",0,0,1,1,1
"110",TRUE,55,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"111",TRUE,28,"low","american",1,1,0,"NA","TX",0,1,1,1,1
"112",FALSE,7,"low","american",1,1,0,"Low","TX",0,0,1,1,1
"113",TRUE,24,"low","american",1,1,0,"Low","TX",0,1,1,1,0
"114",FALSE,155,"high","latin",0,1,0,"Medium","TX",0,0,1,1,0
"115",TRUE,142,"low","american",1,1,0,"Medium","TX",1,0,1,1,0
"116",TRUE,7,"low","american",1,1,0,"Low","TX",0,1,1,1,0
"117",TRUE,45,"low","asian",1,1,0,"Medium","TX",0,0,1,0,0
"118",TRUE,95,"low","asian",1,1,0,"Medium","TX",0,0,1,1,0
"119",TRUE,201,"low","european",1,1,0,"Medium","TX",1,0,1,1,0
"120",TRUE,230,"low","asian",1,1,0,"Medium","TX",0,0,1,1,0
"121",FALSE,171,"low","american",0,1,0,"Medium","TX",0,0,1,1,0
"122",TRUE,117,"low","latin",0,1,0,"NA","TX",0,1,1,1,1
"123",TRUE,154,"low","latin",1,1,0,"Medium","TX",0,0,1,1,0
"124",TRUE,73,"low","american",1,1,0,"Medium","TX",0,1,1,1,0
"125",TRUE,22,"low","american",1,1,0,"NA","TX",0,1,1,1,1
"126",TRUE,174,"low","latin",1,1,0,"Medium","TX",0,1,1,1,1
"127",TRUE,194,"low","asian",1,1,0,"Medium","TX",0,1,1,1,1
"128",TRUE,32,"low","american",1,1,0,"NA","TX",0,1,1,1,0
"129",TRUE,55,"high","american",1,1,0,"Low","TX",0,1,1,1,0
"130",FALSE,10,"low","american",0,1,0,"Medium","TX",0,1,1,1,1
"131",TRUE,48,"low","american",1,1,0,"Low","TX",0,0,1,1,0
"132",TRUE,61,"low","american",0,1,0,"Low","TX",0,1,1,1,1
"133",FALSE,2,"low","american",0,0,0,"NA","TX",0,0,0,0,0
"134",TRUE,126,"low","american",0,0,0,"Low","TX",0,1,1,1,1
"135",TRUE,14,"low","american",0,1,0,"Low","TX",0,1,1,1,1
"136",TRUE,127,"high","hawaiian",1,1,0,"Low","TX",1,0,0,1,1
"137",TRUE,97,"low","american",1,1,0,"Low","TX",1,1,1,1,1
"138",TRUE,87,"low","american",1,1,0,"Medium","TX",1,1,1,1,1
"139",TRUE,8,"high","american",0,0,0,"Low","TX",0,1,0,1,1
"140",TRUE,160,"low","american",0,1,0,"Low","TX",0,1,0,1,1
"141",TRUE,42,"low","latin",0,1,0,"Low","TX",1,1,0,1,1
"142",TRUE,42,"low","american",1,1,0,"NA","TX",0,1,1,1,1
"143",TRUE,42,"low","american",0,1,0,"Low","TX",0,1,0,1,1
"144",TRUE,52,"low","american",0,1,0,"Low","TX",1,1,1,1,1
"145",FALSE,3,"low","asian",1,1,0,"NA","TX",0,0,0,0,0
"146",FALSE,10,"low","asian",0,1,0,"NA","TX",0,0,0,1,0
"147",FALSE,8,"low","asian",1,1,0,"NA","TX",0,0,1,1,1
"148",TRUE,2,"low","asian",1,1,0,"NA","TX",1,0,1,1,0
"149",TRUE,119,"high","american",0,0,0,"Low","TX",0,1,1,1,0
"150",TRUE,115,"high","european",1,1,0,"Medium","TX",0,0,1,1,0
"151",TRUE,76,"low","european",0,0,0,"Medium","TX",0,1,1,1,1
"152",TRUE,93,"high","breakfast",1,1,0,"Medium","TX",0,1,1,0,0
"153",TRUE,130,"low","asian",1,1,0,"Medium","TX",0,0,1,1,0
"154",TRUE,206,"low","latin",0,1,0,"Low","TX",0,1,1,1,1
"155",TRUE,56,"high","american",1,1,0,"Low","TX",0,1,1,1,0
"156",TRUE,162,"low","american",0,1,0,"Low","TX",0,1,0,1,1
"157",TRUE,60,"low","american",1,1,0,"Low","TX",1,1,1,1,1
"158",TRUE,67,"low","american",1,1,0,"NA","TX",0,1,1,1,0
"159",TRUE,120,"low","american",0,0,0,"Medium","TX",0,1,1,0,0
"160",TRUE,233,"high","american",1,1,0,"Low","TX",0,1,1,1,1
"161",TRUE,13,"high","latin",0,0,0,"NA","TX",1,1,1,1,0
"162",TRUE,3,"high","american",0,1,0,"NA","TX",0,1,1,0,0
"163",FALSE,17,"high","american",0,0,0,"Low","TX",0,1,0,1,1
"164",TRUE,149,"low","european",1,1,0,"Low","TX",0,0,0,1,1
"165",FALSE,36,"low","american",0,0,0,"Low","TX",0,0,1,1,1
"166",TRUE,53,"high","american",1,1,0,"NA","TX",0,0,1,1,0
"167",TRUE,142,"low","american",1,1,0,"Medium","TX",1,0,1,1,0
"168",TRUE,315,"high","asian",0,1,0,"Medium","TX",0,1,1,1,0
"169",TRUE,117,"low","american",1,1,0,"Medium","TX",1,1,1,0,0
"170",TRUE,69,"low","latin",0,1,0,"Medium","TX",1,1,1,1,1
"171",FALSE,37,"low","american",0,0,0,"Low","TX",0,0,0,0,0
"172",TRUE,54,"low","american",1,1,0,"Low","TX",1,1,1,1,0
"173",FALSE,12,"low","asian",0,0,0,"Low","TX",0,1,1,1,0
"174",TRUE,9,"low","american",1,1,0,"NA","TX",0,0,0,0,0
"175",TRUE,21,"low","latin",0,1,0,"NA","TX",0,1,0,1,1
"176",TRUE,7,"high","american",0,0,0,"Low","TX",0,1,0,1,1
"177",TRUE,388,"high","latin",1,1,0,"Medium","TX",0,1,1,1,1
"178",TRUE,258,"high","asian",1,1,0,"Medium","TX",0,0,1,0,0
"179",FALSE,2,"high","american",0,0,0,"NA","TX",0,0,0,0,0
"180",TRUE,24,"low","american",1,1,0,"NA","TX",0,0,1,1,1
"181",TRUE,17,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"182",TRUE,258,"high","asian",0,1,0,"Medium","TX",0,0,1,1,0
"183",FALSE,50,"low","latin",0,1,0,"NA","TX",0,1,1,1,0
"184",TRUE,314,"low","american",1,1,0,"Medium","TX",1,1,1,1,0
"185",TRUE,56,"high","european",0,1,0,"NA","TX",1,0,1,1,0
"186",TRUE,129,"high","asian",1,1,0,"Medium","TX",0,0,0,1,0
"187",FALSE,1,"low","european",0,0,0,"NA","TX",0,0,0,0,0
"188",TRUE,112,"low","latin",1,1,0,"Medium","TX",0,0,1,1,0
"189",TRUE,61,"high","american",0,0,0,"Medium","TX",0,0,1,1,1
"190",TRUE,57,"low","asian",1,1,0,"Low","TX",0,0,1,1,0
"191",TRUE,20,"high","breakfast",1,1,0,"NA","TX",1,1,1,0,0
"192",TRUE,133,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"193",TRUE,447,"low","american",1,1,0,"Medium","TX",0,1,1,1,0
"194",TRUE,30,"low","american",1,1,0,"Medium","TX",0,0,1,1,0
"195",TRUE,1,"high","american",0,0,0,"NA","TX",1,0,1,1,0
"196",FALSE,3,"high","breakfast",0,0,0,"NA","TX",0,1,1,0,0
"197",TRUE,74,"low","american",0,1,0,"NA","TX",0,0,1,1,1
"198",TRUE,52,"high","hawaiian",1,1,0,"NA","TX",1,0,0,1,1
"199",TRUE,107,"low","american",1,1,0,"Medium","TX",0,1,1,1,1
"200",TRUE,38,"high","american",1,1,0,"NA","TX",1,0,1,1,1
"201",TRUE,104,"low","asian",1,1,0,"NA","TX",0,1,1,1,1
"202",FALSE,24,"low","asian",1,1,0,"Medium","TX",0,1,1,1,1
"203",TRUE,97,"low","american",1,1,0,"Medium","TX",0,1,1,1,0
"204",TRUE,8,"low","asian",1,1,0,"NA","TX",0,0,0,1,0
"205",TRUE,47,"high","breakfast",1,1,0,"NA","TX",1,1,1,1,0
"206",TRUE,141,"low","american",1,1,0,"Low","TX",0,0,0,1,1
"207",TRUE,14,"high","american",0,0,0,"NA","TX",0,1,1,1,0
"208",FALSE,3,"high","asian",1,1,0,"NA","TX",0,0,1,1,0
"209",TRUE,28,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"210",TRUE,33,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"211",TRUE,10,"low","american",1,1,0,"Low","TX",0,1,1,1,0
"212",TRUE,226,"high","american",0,1,0,"Medium","TX",0,0,1,1,0
"213",TRUE,47,"low","asian",1,1,0,"NA","TX",0,1,1,1,0
"214",TRUE,123,"high","breakfast",0,0,0,"Medium","TX",0,1,1,0,0
"215",TRUE,6,"high","asian",0,0,0,"NA","TX",0,0,0,0,0
"216",TRUE,329,"high","american",0,1,0,"Medium","TX",0,1,1,0,0
"217",TRUE,155,"high","asian",1,1,0,"Medium","TX",0,0,1,0,0
"218",TRUE,317,"high","american",1,1,0,"Medium","TX",0,0,1,1,0
"219",TRUE,619,"high","european",1,1,0,"Medium","TX",0,0,1,1,0
"220",TRUE,408,"high","asian",1,1,0,"Medium","TX",1,0,1,0,0
"221",TRUE,148,"high","asian",1,1,0,"Medium","TX",0,0,0,1,0
"222",FALSE,90,"low","latin",1,1,0,"Medium","TX",0,1,1,1,0
"223",TRUE,199,"high","asian",1,1,0,"Medium","TX",0,0,1,0,0
"224",TRUE,96,"high","asian",1,1,0,"Low","TX",0,0,1,1,0
"225",TRUE,311,"high","latin",0,1,0,"Medium","TX",0,0,1,1,0
"226",TRUE,163,"low","latin",1,1,0,"Low","TX",0,1,1,1,1
"227",TRUE,54,"low","european",0,0,0,"Low","TX",0,0,1,1,1
"228",FALSE,68,"high","asian",1,1,0,"Medium","TX",0,0,1,1,0
"229",FALSE,74,"low","american",1,1,0,"Low","TX",0,1,1,1,1
"230",TRUE,143,"low","american",0,0,0,"Medium","TX",0,0,0,1,1
"231",TRUE,63,"low","american",1,1,0,"Low","TX",0,0,1,1,0
